country,causality_from,causality_to,p_value
BE,aesfdrk,bctprd,0.03338155364971011
BE,bctprd,aesfdrk,0.15645244255443938
BE,aesfdrk,chldhhe,0.967371665837416
BE,chldhhe,aesfdrk,0.19140673355568272
BE,aesfdrk,atncrse,0.7125960126000507
BE,atncrse,aesfdrk,0.08872946259076608
BE,aesfdrk,clsprty,0.28124481880330265
BE,clsprty,aesfdrk,0.6327544159235452
BE,aesfdrk,crmvct,0.2133564636092592
BE,crmvct,aesfdrk,0.4927198317646001
BE,aesfdrk,crpdwk,0.08979745579146194
BE,crpdwk,aesfdrk,0.03301856323368639
BE,aesfdrk,crpdwkp,0.002454755012978452
BE,crpdwkp,aesfdrk,0.10656057170030912
BE,aesfdrk,ctzcntr,0.753189203360325
BE,ctzcntr,aesfdrk,0.021782762925202287
BE,aesfdrk,dngnapp,0.01582046146680884
BE,dngnapp,aesfdrk,0.15620155949074724
BE,aesfdrk,dngoth,0.07361603567135717
BE,dngoth,aesfdrk,0.05762521071435503
BE,aesfdrk,dngothp,0.002714859352940768
BE,dngothp,aesfdrk,0.17973538496089514
BE,aesfdrk,domicil,0.22833300140137985
BE,domicil,aesfdrk,0.12745441530157975
BE,aesfdrk,dsbld,0.10816178966306059
BE,dsbld,aesfdrk,0.12337708805923972
BE,aesfdrk,dscrage,0.19827782331600488
BE,dscrage,aesfdrk,0.04353076349303011
BE,aesfdrk,dscrdsb,0.6560183909269226
BE,dscrdsb,aesfdrk,0.0009725898936640827
BE,aesfdrk,dsbldp,0.7529862613700169
BE,dsbldp,aesfdrk,0.12117383597148405
BE,aesfdrk,dscretn,0.5003637955357053
BE,dscretn,aesfdrk,0.8743459156182042
BE,aesfdrk,dscrgnd,0.11875486837776644
BE,dscrgnd,aesfdrk,0.11360705189587904
BE,aesfdrk,dscrlng,0.19285582456320333
BE,dscrlng,aesfdrk,0.00048652344842489497
BE,aesfdrk,dscrgrp,0.10874942609346064
BE,dscrgrp,aesfdrk,0.006062232022367562
BE,aesfdrk,dscrntn,0.11147728092103269
BE,dscrntn,aesfdrk,0.015701357708929543
BE,aesfdrk,dscroth,0.4238825390221523
BE,dscroth,aesfdrk,0.0717812163320678
BE,aesfdrk,dscrrce,0.07754440969761814
BE,dscrrce,aesfdrk,0.07748701197194671
BE,aesfdrk,dscrrlg,0.6043793446304524
BE,dscrrlg,aesfdrk,0.255851712104429
BE,aesfdrk,dscrsex,0.335875702567413
BE,dscrsex,aesfdrk,0.04433428617840973
BE,aesfdrk,dvrcdeva,0.774399996664583
BE,dvrcdeva,aesfdrk,0.8061468962963225
BE,aesfdrk,edctn,0.10960707256009108
BE,edctn,aesfdrk,0.00033156879288029735
BE,aesfdrk,edctnp,0.4060769349183794
BE,edctnp,aesfdrk,0.021608268910361692
BE,aesfdrk,edulvlb,0.9642635823268038
BE,edulvlb,aesfdrk,0.11413790667807129
