country,causality_from,causality_to,p_value
CH,aesfdrk,bctprd,0.23588086748680817
CH,bctprd,aesfdrk,0.9575430902546239
CH,aesfdrk,atncrse,0.0727034384036984
CH,atncrse,aesfdrk,0.4359468745241174
CH,aesfdrk,chldhhe,0.5953983696518731
CH,chldhhe,aesfdrk,0.182075895544438
CH,aesfdrk,clsprty,0.12146698056598744
CH,clsprty,aesfdrk,0.01499707064342941
CH,aesfdrk,cmsrv,0.475238091032441
CH,cmsrv,aesfdrk,0.28861927394806103
CH,aesfdrk,crmvct,0.4551045888432313
CH,crmvct,aesfdrk,0.10649514686689028
CH,aesfdrk,crpdwk,0.5210832496995683
CH,crpdwk,aesfdrk,0.01205950972472123
CH,aesfdrk,crpdwkp,0.5632232253344319
CH,crpdwkp,aesfdrk,0.01698188907359041
CH,aesfdrk,ctzcntr,0.14415664150239535
CH,ctzcntr,aesfdrk,0.6597986714476441
CH,aesfdrk,dngnapp,0.13513894809785215
CH,dngnapp,aesfdrk,0.15238129472717601
CH,aesfdrk,dngoth,0.20290757069012044
CH,dngoth,aesfdrk,0.1455651121544786
CH,aesfdrk,dngothp,0.11256864692824904
CH,dngothp,aesfdrk,0.5676458688177266
CH,aesfdrk,domicil,0.8296418530141279
CH,domicil,aesfdrk,0.13507257942738782
CH,aesfdrk,dsbld,0.5821061722097803
CH,dsbld,aesfdrk,0.11306637028434638
CH,aesfdrk,dsbldp,0.03843429596582206
CH,dsbldp,aesfdrk,0.23688625757111884
CH,aesfdrk,dscrage,0.02362019243110093
CH,dscrage,aesfdrk,0.5534757902073282
CH,aesfdrk,dscrdsb,0.03515163973526221
CH,dscrdsb,aesfdrk,0.11409611214484547
CH,aesfdrk,dscretn,0.166228143094053
CH,dscretn,aesfdrk,0.23947249096493958
CH,aesfdrk,dscrgnd,0.392066799853465
CH,dscrgnd,aesfdrk,0.01818431459522141
CH,aesfdrk,dscrgrp,0.53098965898253
CH,dscrgrp,aesfdrk,0.014694486538122135
CH,aesfdrk,dscrlng,0.3924282792128646
CH,dscrlng,aesfdrk,0.5358822415741795
CH,aesfdrk,dscrntn,0.13956973013707122
CH,dscrntn,aesfdrk,0.7201310434239622
CH,aesfdrk,dscroth,0.47145001624701816
CH,dscroth,aesfdrk,0.011945055986298813
CH,aesfdrk,dscrrce,0.047724696286048494
CH,dscrrce,aesfdrk,0.07107839087300256
CH,aesfdrk,dscrrlg,0.18512200319967748
CH,dscrrlg,aesfdrk,0.8734687530363721
CH,aesfdrk,dvrcdeva,0.34284640320667464
CH,dvrcdeva,aesfdrk,0.44998987813340025
CH,aesfdrk,dscrsex,0.21007843150033742
CH,dscrsex,aesfdrk,0.008422144933050822
CH,aesfdrk,edctn,0.14665163176197704
CH,edctn,aesfdrk,0.6055008410033325
CH,aesfdrk,edctnp,0.16414516120245445
CH,edctnp,aesfdrk,0.6356177265023346
CH,aesfdrk,edlvdch,0.26291219290201684
CH,edlvdch,aesfdrk,0.6364958460826343
CH,aesfdrk,edlvfdch,0.06922644993004917
CH,edlvfdch,aesfdrk,0.28210041018780724
CH,aesfdrk,edlvmdch,0.016463247932545937
CH,edlvmdch,aesfdrk,0.6738144274937681
CH,aesfdrk,edlvpdch,0.5219585848239439
CH,edlvpdch,aesfdrk,0.31668980252829343
CH,aesfdrk,edulvlb,0.09883674354212017
CH,edulvlb,aesfdrk,0.3739603674122185
CH,aesfdrk,edulvlfb,0.03854404245888988
CH,edulvlfb,aesfdrk,0.5028046635942415
CH,aesfdrk,edulvlmb,0.03194497170435103
CH,edulvlmb,aesfdrk,0.1882461994750741
CH,aesfdrk,eisced,0.8234202728074745
CH,eisced,aesfdrk,0.01073239041056485
CH,aesfdrk,edulvlpb,0.693023764812612
CH,edulvlpb,aesfdrk,0.37531568043407343
CH,aesfdrk,eiscedf,0.1792059277732968
CH,eiscedf,aesfdrk,0.6545086257925731
CH,aesfdrk,eiscedm,0.16736369701086637
CH,eiscedm,aesfdrk,0.7606504370486636
CH,aesfdrk,eiscedp,0.30345261918465855
CH,eiscedp,aesfdrk,0.1712954051665685
CH,aesfdrk,emprelp,0.38590064422691
CH,emprelp,aesfdrk,0.008057579479396466
CH,aesfdrk,emplrel,0.6499128886746046
CH,emplrel,aesfdrk,0.22307862520448268
CH,aesfdrk,emprf14,0.6526953854630301
CH,emprf14,aesfdrk,0.012566802683725009
CH,aesfdrk,emprm14,0.2706454444798322
CH,emprm14,aesfdrk,0.08734201117596516
CH,aesfdrk,estsz,0.9205626300992361
CH,estsz,aesfdrk,0.2778029074614261
CH,aesfdrk,facntr,0.7736965201437659
CH,facntr,aesfdrk,0.30859177437020896
