country,causality_from,causality_to,p_value
FI,aesfdrk,atncrse,0.39024293916143077
FI,atncrse,aesfdrk,0.4890974541796302
FI,aesfdrk,bctprd,0.011423234770849276
FI,bctprd,aesfdrk,0.2509248552124006
FI,aesfdrk,chldhhe,0.07645599167131098
FI,chldhhe,aesfdrk,0.002067589898441981
FI,aesfdrk,clsprty,0.3766211175720386
FI,clsprty,aesfdrk,0.6213401271452466
FI,aesfdrk,cmsrv,0.6708582954856176
FI,cmsrv,aesfdrk,0.26230615676534624
FI,aesfdrk,crmvct,0.02629389688504042
FI,crmvct,aesfdrk,0.40438544684706407
FI,aesfdrk,crpdwk,0.759313602694191
FI,crpdwk,aesfdrk,0.09723439003192591
FI,aesfdrk,crpdwkp,0.05469022878516177
FI,crpdwkp,aesfdrk,0.006456684529868959
FI,aesfdrk,ctzcntr,0.3346478508739042
FI,ctzcntr,aesfdrk,0.7163062922344159
FI,aesfdrk,dngnapp,0.4934500328199705
FI,dngnapp,aesfdrk,0.271930018213546
FI,aesfdrk,dngothp,0.2820817206225966
FI,dngothp,aesfdrk,0.027364346407430854
FI,aesfdrk,domicil,0.013664121206020004
FI,domicil,aesfdrk,0.32820542900530086
FI,aesfdrk,dsbld,0.8153128814791549
FI,dsbld,aesfdrk,0.06287941846448039
FI,aesfdrk,dsbldp,0.016199491003412288
FI,dsbldp,aesfdrk,0.6494134726783242
FI,aesfdrk,dscretn,0.009194897199175458
FI,dscretn,aesfdrk,0.22039533571666753
FI,aesfdrk,dscrgrp,0.13921953519246955
FI,dscrgrp,aesfdrk,0.0217525316813316
FI,aesfdrk,dscrdsb,0.0009347298161553299
FI,dscrdsb,aesfdrk,0.16332682686347727
FI,aesfdrk,dscrage,0.07014000721253848
FI,dscrage,aesfdrk,0.19803816235495136
FI,aesfdrk,dscrlng,0.1258063910388197
FI,dscrlng,aesfdrk,0.05069940895348407
FI,aesfdrk,dscrgnd,0.8535919689059797
FI,dscrgnd,aesfdrk,0.8354525285536962
FI,aesfdrk,dscrntn,0.024284654317161952
FI,dscrntn,aesfdrk,0.010703430447726706
FI,aesfdrk,dscrsex,0.8676879019326793
FI,dscrsex,aesfdrk,0.4675578921383776
FI,aesfdrk,dscrrce,0.4521579555644606
FI,dscrrce,aesfdrk,0.0499336912327006
FI,aesfdrk,dscroth,0.013569331782942043
FI,dscroth,aesfdrk,0.22518371980798152
FI,aesfdrk,dscrrlg,0.01755172683756252
FI,dscrrlg,aesfdrk,0.29576458429062197
FI,aesfdrk,dvrcdeva,0.8808344698236189
FI,dvrcdeva,aesfdrk,0.17446849641985956
FI,aesfdrk,edctn,0.4435782163159325
FI,edctn,aesfdrk,0.7379752645125636
FI,aesfdrk,edctnp,0.9466764169576904
FI,edctnp,aesfdrk,0.08324387361138133
FI,aesfdrk,edlvdfi,0.08651170736686173
FI,edlvdfi,aesfdrk,0.42269889842780445
FI,aesfdrk,edlvfdfi,0.31248318318530854
FI,edlvfdfi,aesfdrk,0.03408933555639064
FI,aesfdrk,edlvmdfi,0.13345946178790272
FI,edlvmdfi,aesfdrk,0.1359431894985604
FI,aesfdrk,edlvpdfi,0.004340397526611494
FI,edlvpdfi,aesfdrk,0.022599206689873384
FI,aesfdrk,edulvlb,0.22736501507824022
FI,edulvlb,aesfdrk,0.12444865324178231
FI,aesfdrk,edulvlfb,0.07744291637518244
FI,edulvlfb,aesfdrk,0.036496309666391384
FI,aesfdrk,edulvlmb,0.6224839912090525
FI,edulvlmb,aesfdrk,0.43471233668721226
FI,aesfdrk,eisced,0.5217982890169699
FI,eisced,aesfdrk,0.8255875779114079
FI,aesfdrk,edulvlpb,0.7111182309175283
FI,edulvlpb,aesfdrk,0.854416748876166
FI,aesfdrk,eiscedf,0.7858450735417648
FI,eiscedf,aesfdrk,0.5331857910050228
FI,aesfdrk,eiscedm,0.37608465636577193
FI,eiscedm,aesfdrk,0.3713088834863315
FI,aesfdrk,eiscedp,0.4196958836462319
FI,eiscedp,aesfdrk,0.9222545366339598
FI,aesfdrk,emplrel,0.14089670804502435
FI,emplrel,aesfdrk,0.5347895692111776
FI,aesfdrk,emprelp,0.0032328704517738337
FI,emprelp,aesfdrk,0.05053635024913309
FI,aesfdrk,emprf14,0.007298060324672057
FI,emprf14,aesfdrk,0.6608892321723171
FI,aesfdrk,emprm14,0.17303102052904415
FI,emprm14,aesfdrk,0.4333832326872463
FI,aesfdrk,estsz,0.4506608325426602
FI,estsz,aesfdrk,0.23785944937891054
FI,aesfdrk,facntr,0.4457966426924076
FI,facntr,aesfdrk,0.4757492107841516
FI,aesfdrk,freehms,0.08747612749240735
FI,freehms,aesfdrk,0.3303184069859841
FI,aesfdrk,happy,0.09848742335876465
FI,happy,aesfdrk,0.009302405974048635
FI,aesfdrk,health,0.04698369473887286
FI,health,aesfdrk,0.5409366867961491
FI,aesfdrk,hincfel,0.1316314889357647
FI,hincfel,aesfdrk,0.10785904840937857
FI,aesfdrk,hincsrca,0.4145659772459705
FI,hincsrca,aesfdrk,0.004176528445951491
FI,aesfdrk,hinctnta,0.023206649664740956
FI,hinctnta,aesfdrk,0.12963177874152904
FI,aesfdrk,hlthhmp,0.05750029678482359
FI,hlthhmp,aesfdrk,0.03553718548987295
FI,aesfdrk,hswrk,0.13449259246504458
FI,hswrk,aesfdrk,0.03564672529900371
FI,aesfdrk,hswrkp,0.7570658473213738
FI,hswrkp,aesfdrk,0.7489726110907959
FI,aesfdrk,imbgeco,0.5618090475859426
FI,imbgeco,aesfdrk,0.14092398930703606
FI,aesfdrk,imsmetn,0.6146233279571653
FI,imsmetn,aesfdrk,0.8374421094553759
FI,aesfdrk,impcntr,0.10194047855588917
FI,impcntr,aesfdrk,0.08860629869208278
FI,aesfdrk,imueclt,0.002290254026219053
FI,imueclt,aesfdrk,0.2808241031190459
FI,aesfdrk,imdfetn,0.003176362732119043
FI,imdfetn,aesfdrk,0.07866008383351064
FI,aesfdrk,imwbcnt,0.024930530005199243
FI,imwbcnt,aesfdrk,0.18546767748507503
FI,aesfdrk,iorgact,0.32975955118652717
FI,iorgact,aesfdrk,0.4257865601773318
FI,aesfdrk,lrscale,0.70831542622766
FI,lrscale,aesfdrk,0.23654671692106635
FI,aesfdrk,jbspv,0.2970326129723658
FI,jbspv,aesfdrk,0.4681310978692798
FI,aesfdrk,lvgptnea,0.14792917898346977
FI,lvgptnea,aesfdrk,0.12830024772985518
FI,aesfdrk,mainact,0.008800562969627463
FI,mainact,aesfdrk,0.02884128216502869
FI,aesfdrk,mbtru,0.16185358436651764
FI,mbtru,aesfdrk,0.38533672055599316
FI,aesfdrk,mnactic,0.12553546637234542
FI,mnactic,aesfdrk,0.01868323274711888
FI,aesfdrk,mnactp,0.02285435808310643
FI,mnactp,aesfdrk,0.044190619164627326
FI,aesfdrk,mocntr,0.3378427228165575
FI,mocntr,aesfdrk,0.6573477879886098
FI,aesfdrk,nacer2,0.9050323827407425
FI,nacer2,aesfdrk,0.003109256420366714
FI,aesfdrk,njbspv,0.5278605588003108
FI,njbspv,aesfdrk,0.4738403984868918
FI,aesfdrk,occf14b,0.215301244633797
FI,occf14b,aesfdrk,0.007601327828307624
FI,aesfdrk,occm14b,0.0017833238559563378
FI,occm14b,aesfdrk,0.005650585288579851
FI,aesfdrk,pdjobev,0.02817754917454337
FI,pdjobev,aesfdrk,0.0147570221249769
FI,aesfdrk,pdwrk,0.4630995689024756
FI,pdwrk,aesfdrk,0.48922463878885025
FI,aesfdrk,pdwrkp,0.16681814305845938
FI,pdwrkp,aesfdrk,0.8095265040840933
FI,aesfdrk,polintr,0.016633216302180925
FI,polintr,aesfdrk,0.0013631329723355198
FI,aesfdrk,rlgblg,0.24451941705170627
FI,rlgblg,aesfdrk,0.7237328747518129
FI,aesfdrk,pplfair,0.7607409057566503
FI,pplfair,aesfdrk,0.09676142205479497
FI,aesfdrk,pplhlp,0.13974541876137492
FI,pplhlp,aesfdrk,0.7550687942887072
FI,aesfdrk,rlgdnm,0.833853830450912
FI,rlgdnm,aesfdrk,0.35020042303601445
FI,aesfdrk,rshpsts,0.3152174830466732
FI,rshpsts,aesfdrk,0.4391756940409494
FI,aesfdrk,rtrd,0.30198263462304936
FI,rtrd,aesfdrk,0.9523414974463761
FI,aesfdrk,rtrdp,0.6811386996940224
FI,rtrdp,aesfdrk,0.8105993932370691
FI,aesfdrk,sclact,0.17750899183786562
FI,sclact,aesfdrk,0.43875535095150486
FI,aesfdrk,stfdem,0.006753961130319059
FI,stfdem,aesfdrk,0.09248654256067698
FI,aesfdrk,sclmeet,0.8551190363707483
FI,sclmeet,aesfdrk,0.007502214836332009
FI,aesfdrk,stfeco,0.8223201492924743
FI,stfeco,aesfdrk,0.7953516933121435
FI,aesfdrk,stfedu,0.007457231850737724
FI,stfedu,aesfdrk,0.10914201770719688
FI,aesfdrk,stfgov,0.08433817742498957
FI,stfgov,aesfdrk,0.012533693395076533
FI,aesfdrk,stfhlth,0.006284793785566676
FI,stfhlth,aesfdrk,0.3630093199635259
FI,aesfdrk,stflife,0.04212309624930172
FI,stflife,aesfdrk,0.045671878408961045
FI,aesfdrk,tporgwk,0.04496477894461667
FI,tporgwk,aesfdrk,0.4592621829919085
FI,aesfdrk,trstep,0.006578325451852676
FI,trstep,aesfdrk,0.35323259617833846
FI,aesfdrk,trstlgl,0.2267366594778669
FI,trstlgl,aesfdrk,0.7135195994529628
FI,aesfdrk,trstplc,0.014717753477223459
FI,trstplc,aesfdrk,0.37330469444742626
FI,aesfdrk,trstplt,0.8152718245629699
FI,trstplt,aesfdrk,0.23564885158817464
FI,aesfdrk,trstprl,0.20765338641634457
FI,trstprl,aesfdrk,0.4707276129658658
FI,aesfdrk,trstprt,0.2572360123352266
FI,trstprt,aesfdrk,0.6931739196637449
FI,aesfdrk,trstun,0.9840124633059328
FI,trstun,aesfdrk,0.2361406755070428
FI,aesfdrk,uemp12m,0.001905416642743956
FI,uemp12m,aesfdrk,0.01870955122261596
FI,aesfdrk,uemp3m,0.06763539987593647
FI,uemp3m,aesfdrk,0.055301388252408885
FI,aesfdrk,uemp5yr,0.5214556680132238
FI,uemp5yr,aesfdrk,0.08845010849428706
FI,aesfdrk,uempla,0.05240904872298727
FI,uempla,aesfdrk,0.14513495964304174
FI,aesfdrk,uemplap,0.05106153933812306
FI,uemplap,aesfdrk,0.015376955294743545
FI,aesfdrk,uempli,0.22676464020146395
FI,uempli,aesfdrk,0.011687190795486371
FI,aesfdrk,uemplip,0.8981701248246874
FI,uemplip,aesfdrk,0.3717920341436905
FI,aesfdrk,wkdcorga,0.0046367462893866585
FI,wkdcorga,aesfdrk,0.053959612932604026
FI,aesfdrk,wkhct,0.5278605588003108
FI,wkhct,aesfdrk,0.4738403984868918
FI,aesfdrk,wkhtot,0.5278605588003108
FI,wkhtot,aesfdrk,0.4738403984868918
FI,aesfdrk,wkhtotp,0.5278605588003108
FI,wkhtotp,aesfdrk,0.4738403984868918
FI,aesfdrk,wrkac6m,0.8841065068486922
FI,wrkac6m,aesfdrk,0.37192409768103724
FI,aesfdrk,wrkctra,0.4277904634758573
FI,wrkctra,aesfdrk,0.15414904978955052
FI,atncrse,bctprd,2.3448818969927854e-05
FI,bctprd,atncrse,0.8203463257021956
FI,atncrse,clsprty,0.20486009912516231
FI,clsprty,atncrse,0.637718229976944
FI,atncrse,chldhhe,0.36722893365663467
FI,chldhhe,atncrse,5.9605913193092036e-05
FI,atncrse,cmsrv,0.8449305074731132
FI,cmsrv,atncrse,0.271942294686463
FI,atncrse,crmvct,0.008823662798470923
FI,crmvct,atncrse,0.9067448468137498
FI,atncrse,crpdwk,0.37691272385453967
FI,crpdwk,atncrse,0.3695977343677915
FI,atncrse,crpdwkp,0.46389444944260977
FI,crpdwkp,atncrse,0.0033914406081686477
FI,atncrse,ctzcntr,0.4291550748331805
FI,ctzcntr,atncrse,0.5766638438963135
FI,atncrse,dngnapp,0.7842340888743359
FI,dngnapp,atncrse,0.1875128887383565
FI,atncrse,domicil,8.00592835261786e-08
FI,domicil,atncrse,0.861285702551146
FI,atncrse,dsbld,0.9948537336910103
FI,dsbld,atncrse,0.020985956673619452
FI,atncrse,dngothp,0.2643538999159179
FI,dngothp,atncrse,0.24364044398784168
FI,atncrse,dscrage,0.5709927055550886
FI,dscrage,atncrse,0.02399949591037308
FI,atncrse,dsbldp,0.00010977881730334676
FI,dsbldp,atncrse,0.7762933628423541
FI,atncrse,dscrlng,0.6461242682537774
FI,dscrlng,atncrse,0.01787282901623999
FI,atncrse,dscrgnd,0.561335419484379
FI,dscrgnd,atncrse,0.6955144052197
FI,atncrse,dscrdsb,0.12279662057583098
FI,dscrdsb,atncrse,0.14601116704344
FI,atncrse,dscretn,0.024144266125516685
FI,dscretn,atncrse,0.8478597807800203
FI,atncrse,dscrgrp,0.6413308055860563
FI,dscrgrp,atncrse,0.0026382569281953017
FI,atncrse,dscrntn,0.024423921326697375
FI,dscrntn,atncrse,0.8130269448390888
FI,atncrse,dscroth,0.010339781418705256
FI,dscroth,atncrse,0.8761533360584367
FI,atncrse,dscrrce,0.4340364239668762
FI,dscrrce,atncrse,0.2311093368941486
