country,causality_from,causality_to,p_value
FR,aesfdrk,atncrse,0.25519740868089186
FR,atncrse,aesfdrk,0.25527685679479456
FR,aesfdrk,bctprd,0.13517477498937897
FR,bctprd,aesfdrk,0.0456466005855354
FR,aesfdrk,chldhhe,0.10697649979056997
FR,chldhhe,aesfdrk,0.01509756678177753
FR,aesfdrk,clsprty,0.6872227595837399
FR,clsprty,aesfdrk,0.0229228632329684
FR,aesfdrk,crmvct,0.7390875351900167
FR,crmvct,aesfdrk,0.680025094795212
FR,aesfdrk,crpdwk,0.5533374161089786
FR,crpdwk,aesfdrk,0.14020082900397118
FR,aesfdrk,crpdwkp,0.6420784714314672
FR,crpdwkp,aesfdrk,0.10905955712803288
FR,aesfdrk,ctzcntr,0.12127149266030327
FR,ctzcntr,aesfdrk,0.03615090886293724
FR,aesfdrk,dngnapp,0.3513128659778772
FR,dngnapp,aesfdrk,0.872681804288856
FR,aesfdrk,dngoth,0.6725386010593519
FR,dngoth,aesfdrk,0.02078632752961149
FR,aesfdrk,dngothp,0.09071540059740744
FR,dngothp,aesfdrk,0.24629397532570682
FR,aesfdrk,domicil,0.5379894447230418
FR,domicil,aesfdrk,0.12075373253727836
FR,aesfdrk,dsbld,0.35818611186133065
FR,dsbld,aesfdrk,0.13906728659318057
FR,aesfdrk,dsbldp,0.937129665414659
FR,dsbldp,aesfdrk,0.06930978363061426
FR,aesfdrk,dscrage,0.6835420440966906
FR,dscrage,aesfdrk,0.3475432749682138
FR,aesfdrk,dscrdsb,0.03901138477560529
FR,dscrdsb,aesfdrk,0.09577193666632229
FR,aesfdrk,dscretn,0.28215825236279085
FR,dscretn,aesfdrk,0.9514074917957378
FR,aesfdrk,dscrgnd,0.1036606993391181
FR,dscrgnd,aesfdrk,0.04196363540087084
FR,aesfdrk,dscrgrp,0.12039880960399497
FR,dscrgrp,aesfdrk,0.28311311293594904
FR,aesfdrk,dscrlng,0.0018793724402404362
FR,dscrlng,aesfdrk,0.740393820677148
FR,aesfdrk,dscrntn,0.4768123861098999
FR,dscrntn,aesfdrk,0.07937872947997944
FR,aesfdrk,dscroth,0.6566048106453097
FR,dscroth,aesfdrk,0.019239858598080566
FR,aesfdrk,dscrrce,0.009076613097056336
FR,dscrrce,aesfdrk,0.22672998755608167
FR,aesfdrk,dscrrlg,0.07104083735568478
FR,dscrrlg,aesfdrk,0.4034780875397297
FR,aesfdrk,dscrsex,0.7515178925752924
FR,dscrsex,aesfdrk,0.2605942079146202
FR,aesfdrk,dvrcdeva,0.4028167295349941
FR,dvrcdeva,aesfdrk,0.3115588152113238
FR,aesfdrk,edctn,0.5039702418861085
FR,edctn,aesfdrk,0.5437574613109932
FR,aesfdrk,edctnp,0.0011724846421718687
FR,edctnp,aesfdrk,0.027565383378487227
FR,aesfdrk,edulvlb,0.1730995847630209
FR,edulvlb,aesfdrk,0.9920858954937135
FR,aesfdrk,edulvlfb,0.9453389456040542
FR,edulvlfb,aesfdrk,0.028247421602213888
FR,aesfdrk,edulvlmb,0.8273674174448956
FR,edulvlmb,aesfdrk,0.1550679402310532
FR,aesfdrk,edulvlpb,0.6447457574142387
FR,edulvlpb,aesfdrk,0.3011127207516768
FR,aesfdrk,eisced,0.00012246404367410461
FR,eisced,aesfdrk,0.13935575331091823
FR,aesfdrk,eiscedf,0.13361416624072525
FR,eiscedf,aesfdrk,0.08017211718267578
FR,aesfdrk,eiscedm,0.9822706329465339
FR,eiscedm,aesfdrk,0.0707663371399005
FR,aesfdrk,eiscedp,0.06414820485386749
FR,eiscedp,aesfdrk,0.622077788615754
FR,aesfdrk,emplrel,0.10565616830427432
FR,emplrel,aesfdrk,0.11707251953332343
FR,aesfdrk,emprelp,0.06344941043912236
FR,emprelp,aesfdrk,0.06756570598447409
FR,aesfdrk,emprm14,0.06910346969151229
FR,emprm14,aesfdrk,0.2008086505898636
FR,aesfdrk,emprf14,0.20233084743388746
FR,emprf14,aesfdrk,0.7732367940493374
FR,aesfdrk,estsz,0.00022087985984143682
FR,estsz,aesfdrk,0.03520058429845121
FR,aesfdrk,facntr,0.30276004993694977
FR,facntr,aesfdrk,0.3284141194123904
FR,aesfdrk,freehms,0.11313041096561534
FR,freehms,aesfdrk,0.09120631466599347
FR,aesfdrk,happy,0.22306800447292127
FR,happy,aesfdrk,0.19896318935861765
FR,aesfdrk,hincfel,0.21659307724463833
FR,hincfel,aesfdrk,0.9348382441349727
FR,aesfdrk,health,0.2843700493435708
FR,health,aesfdrk,0.8518939354958702
FR,aesfdrk,hincsrca,0.26463028612677636
FR,hincsrca,aesfdrk,0.7703913871972671
FR,aesfdrk,hinctnta,0.15855873176844162
FR,hinctnta,aesfdrk,0.27278026968659974
FR,aesfdrk,hlthhmp,0.945577802616184
FR,hlthhmp,aesfdrk,0.7848574165978626
FR,aesfdrk,hswrk,0.09161252557612873
FR,hswrk,aesfdrk,0.33775776045644823
FR,aesfdrk,hswrkp,0.18063430761937851
FR,hswrkp,aesfdrk,0.8233134209074535
FR,aesfdrk,imbgeco,0.5824722901378201
FR,imbgeco,aesfdrk,0.1738968280432136
FR,aesfdrk,imdfetn,0.153804221766038
FR,imdfetn,aesfdrk,0.010753507462900373
FR,aesfdrk,impcntr,0.7886818769659192
FR,impcntr,aesfdrk,0.873594284891987
FR,aesfdrk,imsmetn,0.00670142334984527
FR,imsmetn,aesfdrk,0.7563739567172253
FR,aesfdrk,imueclt,0.6310799243458639
FR,imueclt,aesfdrk,0.029186499105032092
FR,aesfdrk,imwbcnt,0.011466230662484882
FR,imwbcnt,aesfdrk,0.6837006885710282
FR,aesfdrk,iorgact,0.05358263541779267
FR,iorgact,aesfdrk,0.10821452819809273
FR,aesfdrk,jbspv,0.6426711356295725
FR,jbspv,aesfdrk,0.1743584705350771
FR,aesfdrk,lrscale,0.3379869921181723
FR,lrscale,aesfdrk,0.19314005218341398
FR,aesfdrk,lvgptnea,0.7382076732204357
FR,lvgptnea,aesfdrk,0.37131433723385926
FR,aesfdrk,mainact,0.823393684084005
FR,mainact,aesfdrk,0.027598150061480427
FR,aesfdrk,maritalb,0.18051888788968615
FR,maritalb,aesfdrk,0.8299367569470302
FR,aesfdrk,marsts,0.12941032083683074
FR,marsts,aesfdrk,0.7182661778691403
FR,aesfdrk,mbtru,0.871663672395014
FR,mbtru,aesfdrk,0.08826223762894615
FR,aesfdrk,mnactic,0.6885928203216447
FR,mnactic,aesfdrk,0.07239953006234108
FR,aesfdrk,mnactp,0.858149406959381
FR,mnactp,aesfdrk,0.07418657156379016
FR,aesfdrk,mocntr,0.8767819650443024
FR,mocntr,aesfdrk,0.012985895324873759
FR,aesfdrk,nacer2,0.4334370555072519
FR,nacer2,aesfdrk,0.07544582760478206
FR,aesfdrk,njbspv,0.668376738981207
FR,njbspv,aesfdrk,0.1154711797987901
FR,aesfdrk,occf14b,0.3923400167268398
FR,occf14b,aesfdrk,0.02745960633203392
FR,aesfdrk,occm14b,0.011027674636857695
FR,occm14b,aesfdrk,0.4462996748827528
FR,aesfdrk,pdjobev,0.28211803076140257
FR,pdjobev,aesfdrk,0.8811964380186382
FR,aesfdrk,pdwrk,0.3143790147166099
FR,pdwrk,aesfdrk,0.9863803335508565
FR,aesfdrk,pdwrkp,0.44222128116986786
FR,pdwrkp,aesfdrk,0.8568758691855125
FR,aesfdrk,polintr,0.8002954468797756
FR,polintr,aesfdrk,0.08552229935221378
FR,aesfdrk,pplfair,0.2858315444466753
FR,pplfair,aesfdrk,0.04423072904367582
FR,aesfdrk,pplhlp,0.07090299076296169
FR,pplhlp,aesfdrk,0.3103099287315228
FR,aesfdrk,rlgblg,0.2982068712286414
FR,rlgblg,aesfdrk,0.29939452666347516
FR,aesfdrk,rlgdnm,0.038312441700582185
FR,rlgdnm,aesfdrk,0.2685502699142127
FR,aesfdrk,rshpsts,0.800221260420316
FR,rshpsts,aesfdrk,0.6410802145502942
FR,aesfdrk,rtrd,0.43977925789081973
FR,rtrd,aesfdrk,0.6186553830982092
FR,aesfdrk,rtrdp,0.011953622208626979
FR,rtrdp,aesfdrk,0.2642078927342633
FR,aesfdrk,sclact,0.18255677502095882
FR,sclact,aesfdrk,0.022367133919246024
FR,aesfdrk,sclmeet,0.10916596721388203
FR,sclmeet,aesfdrk,0.07663545609379989
FR,aesfdrk,stfdem,0.4624121115367029
FR,stfdem,aesfdrk,0.011459180484630743
FR,aesfdrk,stfeco,0.03516670217918145
FR,stfeco,aesfdrk,0.8123533639071165
FR,aesfdrk,stfedu,0.1146414602725421
FR,stfedu,aesfdrk,0.03747886410672999
FR,aesfdrk,stfgov,0.2659167648788865
FR,stfgov,aesfdrk,0.7637885453184433
FR,aesfdrk,stfhlth,0.17077712444494994
FR,stfhlth,aesfdrk,0.03830831702501561
FR,aesfdrk,stflife,0.16530719727218995
FR,stflife,aesfdrk,0.9215788297292874
FR,aesfdrk,tporgwk,0.5763443036136474
FR,tporgwk,aesfdrk,0.19174460168557045
FR,aesfdrk,trstep,0.30028098566135975
FR,trstep,aesfdrk,0.8572896446050917
FR,aesfdrk,trstlgl,0.39322351155618795
FR,trstlgl,aesfdrk,0.33087770026954966
FR,aesfdrk,trstplc,0.3031050651491716
FR,trstplc,aesfdrk,0.1769665695535227
FR,aesfdrk,trstplt,0.18445776341759967
FR,trstplt,aesfdrk,0.38423572815832563
FR,aesfdrk,trstprl,0.10402770558358192
FR,trstprl,aesfdrk,0.9783739576090363
FR,aesfdrk,trstprt,0.6963351911833229
FR,trstprt,aesfdrk,0.04629820102949376
FR,aesfdrk,uemp12m,0.883643587704701
FR,uemp12m,aesfdrk,0.06233934234920442
FR,aesfdrk,trstun,0.06302940085207236
FR,trstun,aesfdrk,0.36420299004971196
FR,aesfdrk,uemp3m,0.3399169793706269
FR,uemp3m,aesfdrk,0.5340570379541362
FR,aesfdrk,uemp5yr,0.09036738605344109
FR,uemp5yr,aesfdrk,0.10508625217993792
FR,aesfdrk,uempla,0.9672519886567046
FR,uempla,aesfdrk,0.07809035904832408
FR,aesfdrk,uemplap,0.21104183437935922
FR,uemplap,aesfdrk,0.04875888313126536
FR,aesfdrk,uempli,0.4842629241874563
FR,uempli,aesfdrk,0.05839828425257526
FR,aesfdrk,uemplip,0.7221456034328877
FR,uemplip,aesfdrk,0.19532106860408283
FR,aesfdrk,wkdcorga,0.08313631984183356
FR,wkdcorga,aesfdrk,0.7754024851197343
FR,aesfdrk,wkhct,0.668376738981207
FR,wkhct,aesfdrk,0.1154711797987901
FR,aesfdrk,wkhtotp,0.668376738981207
FR,wkhtotp,aesfdrk,0.1154711797987901
FR,aesfdrk,wkhtot,0.668376738981207
FR,wkhtot,aesfdrk,0.1154711797987901
FR,aesfdrk,wrkac6m,0.5683801976205233
FR,wrkac6m,aesfdrk,0.009419130113916875
FR,aesfdrk,wrkctra,0.4996849756163481
FR,wrkctra,aesfdrk,0.11945068171219202
FR,atncrse,clsprty,0.2951265861503881
FR,clsprty,atncrse,0.015138774357715615
FR,atncrse,chldhhe,0.005237151192810254
FR,chldhhe,atncrse,0.25148282640535746
FR,atncrse,bctprd,0.3051666046389674
FR,bctprd,atncrse,0.0897376084366726
FR,atncrse,crmvct,0.31294980491232116
FR,crmvct,atncrse,0.5117415447182362
FR,atncrse,crpdwk,0.004662015933122782
FR,crpdwk,atncrse,0.10234822592813625
FR,atncrse,crpdwkp,0.058820062004370594
FR,crpdwkp,atncrse,0.2622849337443357
FR,atncrse,ctzcntr,0.04340496865292716
FR,ctzcntr,atncrse,0.06106161307802522
FR,atncrse,dngoth,0.26386253232406454
FR,dngoth,atncrse,0.012502959141627948
FR,atncrse,dngnapp,0.43733228943006763
FR,dngnapp,atncrse,0.2322934361217033
FR,atncrse,dngothp,0.013781960012429055
FR,dngothp,atncrse,0.264047335808503
FR,atncrse,domicil,0.0322086894493536
FR,domicil,atncrse,0.0028585989479288005
FR,atncrse,dsbldp,0.6107533995162483
FR,dsbldp,atncrse,0.32340965053557563
FR,atncrse,dsbld,0.040260710132466994
FR,dsbld,atncrse,0.43191567989656254
FR,atncrse,dscrage,0.5857095093150535
FR,dscrage,atncrse,0.1243607569579248
FR,atncrse,dscrdsb,0.052810283936301786
FR,dscrdsb,atncrse,0.4464069912501496
FR,atncrse,dscretn,0.4173142462299783
FR,dscretn,atncrse,0.3034179478808962
FR,atncrse,dscrgnd,0.9110470405187012
FR,dscrgnd,atncrse,0.43260255239339607
FR,atncrse,dscrgrp,0.25812084114812095
FR,dscrgrp,atncrse,0.8496678711675871
FR,atncrse,dscrlng,0.028233330865661373
FR,dscrlng,atncrse,0.06565125431619291
FR,atncrse,dscrntn,0.054875122674387405
FR,dscrntn,atncrse,0.07019904450468076
FR,atncrse,dscroth,0.038214335714920215
FR,dscroth,atncrse,0.004202408842481632
FR,atncrse,dscrrce,0.015919474038116648
FR,dscrrce,atncrse,0.8375541852377377
FR,atncrse,dscrrlg,0.02250182903763002
FR,dscrrlg,atncrse,0.007906785264020324
FR,atncrse,dscrsex,0.17096475993996088
FR,dscrsex,atncrse,0.010332552241092446
FR,atncrse,dvrcdeva,0.1661600591372936
FR,dvrcdeva,atncrse,0.07109682827742997
FR,atncrse,edctn,0.8440135769919268
FR,edctn,atncrse,0.3844520879390329
FR,atncrse,edctnp,0.05954298078084639
FR,edctnp,atncrse,0.31688889446335755
FR,atncrse,edulvlb,0.019779197551938424
FR,edulvlb,atncrse,0.4216843485856468
FR,atncrse,edulvlfb,0.5896139931050169
FR,edulvlfb,atncrse,0.03203125863939244
FR,atncrse,edulvlmb,0.5360192755419692
FR,edulvlmb,atncrse,0.7130567340638797
FR,atncrse,edulvlpb,0.5522262141636036
FR,edulvlpb,atncrse,0.5082168486629326
FR,atncrse,eisced,0.07013524388218739
FR,eisced,atncrse,0.4639835381609767
