country,causality_from,causality_to,p_value
GB,aesfdrk,atncrse,0.025890862716749032
GB,atncrse,aesfdrk,0.16483618804752379
GB,aesfdrk,bctprd,0.0142162902440198
GB,bctprd,aesfdrk,0.454859031899841
GB,aesfdrk,chldhhe,0.026035828391293384
GB,chldhhe,aesfdrk,0.15585579914820086
GB,aesfdrk,clsprty,0.5568402754902259
GB,clsprty,aesfdrk,0.6688829113951041
GB,aesfdrk,crmvct,0.8864523396928233
GB,crmvct,aesfdrk,0.0031815312468658893
GB,aesfdrk,crpdwk,0.008045872464251941
GB,crpdwk,aesfdrk,0.1954958697304265
GB,aesfdrk,crpdwkp,0.24014791988188733
GB,crpdwkp,aesfdrk,0.7321127682175975
GB,aesfdrk,ctzcntr,0.9708031482938245
GB,ctzcntr,aesfdrk,0.9583188808712455
GB,aesfdrk,dngnapp,0.28712996275951785
GB,dngnapp,aesfdrk,0.10624656990543316
GB,aesfdrk,dngoth,0.5111263596157397
GB,dngoth,aesfdrk,0.554085152947184
GB,aesfdrk,dngothp,0.5803979551254123
GB,dngothp,aesfdrk,0.34434252074172145
GB,aesfdrk,domicil,0.6503858846072152
GB,domicil,aesfdrk,0.8268704717358286
GB,aesfdrk,dsbld,0.9149153091635476
GB,dsbld,aesfdrk,0.8269547530097604
GB,aesfdrk,dsbldp,0.36071142841240783
GB,dsbldp,aesfdrk,0.4287660985968065
GB,aesfdrk,dscrage,0.2041171258536702
GB,dscrage,aesfdrk,0.7648728204239661
GB,aesfdrk,dscrdsb,0.08827702538602511
GB,dscrdsb,aesfdrk,0.3158495962062373
GB,aesfdrk,dscretn,0.8596344951920449
GB,dscretn,aesfdrk,0.875700961382088
GB,aesfdrk,dscrgnd,0.7219233666278515
GB,dscrgnd,aesfdrk,0.0006420300706838097
GB,aesfdrk,dscrgrp,0.5756372225803704
GB,dscrgrp,aesfdrk,0.3059514383985352
GB,aesfdrk,dscrlng,0.12263646197226792
GB,dscrlng,aesfdrk,0.48919019515358114
GB,aesfdrk,dscrntn,0.20533977597565978
GB,dscrntn,aesfdrk,0.21265342115400696
GB,aesfdrk,dscroth,0.043230349006440114
GB,dscroth,aesfdrk,0.02501358522838166
GB,aesfdrk,dscrrce,0.17045678820076762
GB,dscrrce,aesfdrk,0.07204328787610866
GB,aesfdrk,dvrcdeva,0.0945455629889433
GB,dvrcdeva,aesfdrk,0.17239826152520285
GB,aesfdrk,dscrsex,0.04076917044703641
GB,dscrsex,aesfdrk,0.08660156295714617
GB,aesfdrk,dscrrlg,0.23275667885382556
GB,dscrrlg,aesfdrk,0.008511417512155905
GB,aesfdrk,edagegb,0.03165267733684102
GB,edagegb,aesfdrk,0.5574309457368946
GB,aesfdrk,edctn,0.6842942349129257
GB,edctn,aesfdrk,0.023138054786399808
GB,aesfdrk,edulvlb,0.9148453372147971
GB,edulvlb,aesfdrk,0.2757754289995165
GB,aesfdrk,edctnp,0.037870057741422984
GB,edctnp,aesfdrk,0.2966006493613623
GB,aesfdrk,edulvlfb,0.40019578398042904
GB,edulvlfb,aesfdrk,0.9881240720855943
GB,aesfdrk,edulvlmb,0.6108612807310776
GB,edulvlmb,aesfdrk,0.8672764999314606
GB,aesfdrk,edulvlpb,0.8188652241130593
GB,edulvlpb,aesfdrk,0.9459443132426989
GB,aesfdrk,eisced,0.5022134342880128
GB,eisced,aesfdrk,0.21680125416312596
GB,aesfdrk,eiscedf,0.7606090923800979
GB,eiscedf,aesfdrk,0.5887370638248706
GB,aesfdrk,eiscedm,0.7078291653081836
GB,eiscedm,aesfdrk,0.16227735851619637
GB,aesfdrk,eiscedp,0.9254015343847396
GB,eiscedp,aesfdrk,0.8981572184228749
GB,aesfdrk,emplrel,0.0007285301990655201
GB,emplrel,aesfdrk,0.05611449557950926
GB,aesfdrk,emprelp,0.3979076355742017
GB,emprelp,aesfdrk,0.4871920625815838
GB,aesfdrk,emprf14,0.14439228076616134
GB,emprf14,aesfdrk,0.00974589328373041
GB,aesfdrk,emprm14,0.5369518379058664
GB,emprm14,aesfdrk,0.4725159019169824
GB,aesfdrk,estsz,0.4854663325244298
GB,estsz,aesfdrk,0.0018713266708637285
GB,aesfdrk,facntr,0.8575640208258205
GB,facntr,aesfdrk,0.8441498488070496
GB,aesfdrk,freehms,0.44835226850359355
GB,freehms,aesfdrk,0.03625729268240463
GB,aesfdrk,happy,0.5847295078739217
GB,happy,aesfdrk,0.009772957339927411
GB,aesfdrk,hincfel,0.5919890685006395
GB,hincfel,aesfdrk,0.7294976445931466
GB,aesfdrk,health,0.3042273802211581
GB,health,aesfdrk,0.0010553988127581578
GB,aesfdrk,hincsrca,0.10518387316349408
GB,hincsrca,aesfdrk,0.1476326191433803
GB,aesfdrk,hinctnta,0.039060995948800206
GB,hinctnta,aesfdrk,0.043501893576125564
GB,aesfdrk,hlthhmp,0.6795362828195143
GB,hlthhmp,aesfdrk,0.0018604153775725184
GB,aesfdrk,hswrk,0.7880865062877322
GB,hswrk,aesfdrk,0.8193772128246383
GB,aesfdrk,hswrkp,0.9147445227180258
GB,hswrkp,aesfdrk,0.9146852923775275
GB,aesfdrk,imbgeco,0.36833468385935064
GB,imbgeco,aesfdrk,0.7107779135759583
GB,aesfdrk,imdfetn,0.28308271423306197
GB,imdfetn,aesfdrk,0.7230223114577327
GB,aesfdrk,impcntr,0.24301344822526597
GB,impcntr,aesfdrk,0.9128650719415251
GB,aesfdrk,imsmetn,0.10730289964634514
GB,imsmetn,aesfdrk,0.40320483923693734
GB,aesfdrk,imueclt,0.4549651175928374
GB,imueclt,aesfdrk,0.9598809241326971
GB,aesfdrk,imwbcnt,0.36913693347311227
GB,imwbcnt,aesfdrk,0.6948360166388189
GB,aesfdrk,iorgact,0.5624100517720313
GB,iorgact,aesfdrk,0.49425013514571525
GB,aesfdrk,jbspv,0.7095310994819045
GB,jbspv,aesfdrk,0.23056960184021727
GB,aesfdrk,lrscale,0.4866605329471698
GB,lrscale,aesfdrk,0.45122239003100295
GB,aesfdrk,lvgptnea,0.6251006576310083
GB,lvgptnea,aesfdrk,0.00010517469797281292
GB,aesfdrk,mainact,0.9180038686795075
GB,mainact,aesfdrk,0.5084574249938155
GB,aesfdrk,maritalb,0.6521746250390088
GB,maritalb,aesfdrk,0.15938039778772217
GB,aesfdrk,marsts,0.35023820287632745
GB,marsts,aesfdrk,0.272713624375676
GB,aesfdrk,mbtru,0.7804965397464526
GB,mbtru,aesfdrk,0.9187747092845964
GB,aesfdrk,mnactic,0.8805418881380677
GB,mnactic,aesfdrk,0.2485370950655244
GB,aesfdrk,mnactp,0.3116752381086213
GB,mnactp,aesfdrk,0.5100025104987791
GB,aesfdrk,mocntr,0.8785051283877032
GB,mocntr,aesfdrk,0.8993928100346643
GB,aesfdrk,nacer2,0.08302415265963047
GB,nacer2,aesfdrk,0.08324567639644594
GB,aesfdrk,njbspv,0.3691205100214162
GB,njbspv,aesfdrk,0.9092959046295273
GB,aesfdrk,occf14b,0.03795371382027804
GB,occf14b,aesfdrk,0.34277083215343357
GB,aesfdrk,occm14b,0.7316163063895855
GB,occm14b,aesfdrk,0.009465668178301214
GB,aesfdrk,pdjobev,0.9321672691838137
GB,pdjobev,aesfdrk,0.2169033772194043
GB,aesfdrk,pdwrk,0.4435221317791341
GB,pdwrk,aesfdrk,0.02364437980720669
GB,aesfdrk,pdwrkp,0.30789140548564975
GB,pdwrkp,aesfdrk,0.16062278726074766
GB,aesfdrk,polintr,0.7164179037845291
GB,polintr,aesfdrk,0.8723056982082728
GB,aesfdrk,pplfair,0.6037379804615894
GB,pplfair,aesfdrk,0.765672639197958
GB,aesfdrk,pplhlp,0.8449246246566713
GB,pplhlp,aesfdrk,0.9683961265329929
GB,aesfdrk,rlgblg,0.8931297983626563
GB,rlgblg,aesfdrk,0.2760611905226237
GB,aesfdrk,rlgdngb,0.40530373602604847
GB,rlgdngb,aesfdrk,0.31703006696733393
GB,aesfdrk,rlgdnm,0.1441117546312368
GB,rlgdnm,aesfdrk,0.01993616267476907
GB,aesfdrk,rshpsts,0.8267342301926405
GB,rshpsts,aesfdrk,0.0588368860412796
GB,aesfdrk,rtrd,0.5387739333436323
GB,rtrd,aesfdrk,0.0011782073558243814
GB,aesfdrk,rtrdp,0.5692917829859314
GB,rtrdp,aesfdrk,0.03644397180596923
GB,aesfdrk,sclact,0.9854364684161834
GB,sclact,aesfdrk,0.8949350069628106
GB,aesfdrk,sclmeet,0.06291318911340214
GB,sclmeet,aesfdrk,0.3261836981504384
GB,aesfdrk,stfdem,0.7325129236330641
GB,stfdem,aesfdrk,0.7589130212219829
GB,aesfdrk,stfhlth,0.7117848524413523
GB,stfhlth,aesfdrk,0.8702698129442946
GB,aesfdrk,stfeco,0.3571352271159231
GB,stfeco,aesfdrk,0.9553406867606389
GB,aesfdrk,stflife,0.8693913714155761
GB,stflife,aesfdrk,0.42702844980633886
GB,aesfdrk,stfedu,0.930570629675922
GB,stfedu,aesfdrk,0.5239777093350293
GB,aesfdrk,stfgov,0.7631343929729693
GB,stfgov,aesfdrk,0.0024347384037926895
GB,aesfdrk,tporgwk,0.7616183205511418
GB,tporgwk,aesfdrk,0.0006263296468916329
GB,aesfdrk,trstep,0.18049496759323252
GB,trstep,aesfdrk,0.6987890620793576
GB,aesfdrk,trstlgl,0.8873731950010584
GB,trstlgl,aesfdrk,0.19427119539161938
GB,aesfdrk,trstplc,0.4709772662167363
GB,trstplc,aesfdrk,0.017704662227833446
GB,aesfdrk,trstplt,0.7114082148082
GB,trstplt,aesfdrk,0.3806197230769259
GB,aesfdrk,trstprl,0.44209595731621576
GB,trstprl,aesfdrk,0.30836190788179774
GB,aesfdrk,trstprt,0.8007002470084897
GB,trstprt,aesfdrk,0.2120799944581402
GB,aesfdrk,trstun,0.3497603314182401
GB,trstun,aesfdrk,0.4287187395920966
GB,aesfdrk,uemp12m,0.8179562312687634
GB,uemp12m,aesfdrk,0.003443193122826025
GB,aesfdrk,uemp3m,0.08965876731833358
GB,uemp3m,aesfdrk,0.3183449819387241
GB,aesfdrk,uemp5yr,0.5688131004178613
GB,uemp5yr,aesfdrk,0.38238109454925323
GB,aesfdrk,uempla,0.9955414931785971
GB,uempla,aesfdrk,0.08298517311830812
GB,aesfdrk,uemplap,0.07151306537705887
GB,uemplap,aesfdrk,0.11772432765533729
GB,aesfdrk,uempli,0.004010374307090511
GB,uempli,aesfdrk,0.22840026207652497
GB,aesfdrk,uemplip,0.5945810527602928
GB,uemplip,aesfdrk,0.35263123825045134
GB,aesfdrk,wkdcorga,0.8188652668011701
GB,wkdcorga,aesfdrk,0.9714334329526786
GB,aesfdrk,wkhct,0.3691205100214162
GB,wkhct,aesfdrk,0.9092959046295273
GB,aesfdrk,wkhtot,0.3691205100214162
GB,wkhtot,aesfdrk,0.9092959046295273
GB,aesfdrk,wkhtotp,0.3691205100214162
GB,wkhtotp,aesfdrk,0.9092959046295273
GB,aesfdrk,wrkac6m,0.9242730366211019
GB,wrkac6m,aesfdrk,0.24836255410484848
GB,aesfdrk,wrkctra,0.44126510954739034
GB,wrkctra,aesfdrk,0.6801167101513861
GB,atncrse,bctprd,0.3363085042849001
GB,bctprd,atncrse,0.32420036346416403
GB,atncrse,chldhhe,0.018038910829945496
GB,chldhhe,atncrse,0.07906650206105603
GB,atncrse,crmvct,0.44841837884531727
GB,crmvct,atncrse,0.026938672075276417
GB,atncrse,clsprty,0.08929324570800848
GB,clsprty,atncrse,0.5117498332773159
GB,atncrse,crpdwk,0.1080559415013948
GB,crpdwk,atncrse,0.21975245920205494
GB,atncrse,crpdwkp,0.06511503975493954
GB,crpdwkp,atncrse,0.11313168211365161
GB,atncrse,ctzcntr,0.06310628716802051
GB,ctzcntr,atncrse,0.4786876939787122
GB,atncrse,dngnapp,0.002864035938213107
GB,dngnapp,atncrse,0.015993316208538694
GB,atncrse,dngothp,0.0735009368033485
GB,dngothp,atncrse,0.11579033238357452
GB,atncrse,dngoth,0.007763297414690121
GB,dngoth,atncrse,0.009614371453099818
GB,atncrse,domicil,0.002490158568864878
GB,domicil,atncrse,0.0571799877732011
GB,atncrse,dsbld,0.025485633534680086
GB,dsbld,atncrse,0.029796812759764646
GB,atncrse,dscrgnd,0.29592833091185483
GB,dscrgnd,atncrse,0.09269491382034495
GB,atncrse,dsbldp,0.08356507026596759
GB,dsbldp,atncrse,0.1171824975232726
GB,atncrse,dscrdsb,0.17566026324471962
GB,dscrdsb,atncrse,0.8867653704893077
GB,atncrse,dscrage,0.056855065615579924
GB,dscrage,atncrse,0.311047468215164
GB,atncrse,dscretn,0.4588376055234195
GB,dscretn,atncrse,0.7135249421552701
GB,atncrse,dscrgrp,0.34375308906043084
GB,dscrgrp,atncrse,0.6363920478466119
GB,atncrse,dscrlng,0.025786018984113607
GB,dscrlng,atncrse,0.6566837716351532
GB,atncrse,dscrntn,0.0015105181514213219
GB,dscrntn,atncrse,0.0068016824297913465
GB,atncrse,dscroth,0.13081496776528354
GB,dscroth,atncrse,0.27512516250670516
GB,atncrse,dscrrce,0.0031223878761408213
GB,dscrrce,atncrse,0.08034218852563324
GB,atncrse,dscrsex,0.016749806036812802
GB,dscrsex,atncrse,0.032154012908872334
GB,atncrse,dscrrlg,0.1110655901401063
GB,dscrrlg,atncrse,0.29244927597017895
GB,atncrse,edctnp,0.004519976748904378
GB,edctnp,atncrse,0.00605704230620725
GB,atncrse,edagegb,0.0782477667992543
GB,edagegb,atncrse,0.04606833265318086
GB,atncrse,dvrcdeva,0.03571278207403959
GB,dvrcdeva,atncrse,0.02567268500092308
GB,atncrse,edctn,0.47322922931022715
GB,edctn,atncrse,0.12903131209178845
GB,atncrse,edulvlb,0.030504006948478376
GB,edulvlb,atncrse,0.6723018718609148
GB,atncrse,edulvlfb,0.13190280558256073
GB,edulvlfb,atncrse,0.8228474048001096
GB,atncrse,edulvlpb,7.933357057172739e-05
GB,edulvlpb,atncrse,0.012732730974545265
GB,atncrse,edulvlmb,0.6321691331647268
GB,edulvlmb,atncrse,0.8193725420202972
GB,atncrse,eisced,0.0736693184779294
GB,eisced,atncrse,0.11648038684561682
GB,atncrse,eiscedf,0.02818106594864736
GB,eiscedf,atncrse,0.6086024058029319
GB,atncrse,eiscedm,0.16384789507837522
GB,eiscedm,atncrse,0.12300211273843897
GB,atncrse,eiscedp,0.0004326468676781769
GB,eiscedp,atncrse,0.03421737591138661
GB,atncrse,emplrel,0.06497538443591303
GB,emplrel,atncrse,0.252543979950122
GB,atncrse,emprelp,0.051453233540484894
GB,emprelp,atncrse,0.16724995928615619
GB,atncrse,emprf14,0.19677680885752372
GB,emprf14,atncrse,0.8767808994179896
GB,atncrse,emprm14,0.06681043987266849
GB,emprm14,atncrse,0.02157106271622846
GB,atncrse,estsz,0.17984019649237223
GB,estsz,atncrse,0.013371272588665547
GB,atncrse,facntr,0.02973422756489346
GB,facntr,atncrse,0.020749693447144925
GB,atncrse,freehms,0.04498533762882161
GB,freehms,atncrse,0.6635130211982339
GB,atncrse,happy,0.07015531375996474
GB,happy,atncrse,0.8266697795381136
GB,atncrse,health,0.06121252297678687
GB,health,atncrse,0.21340726084275938
GB,atncrse,hincfel,0.9114502815057409
GB,hincfel,atncrse,0.34781214207548755
GB,atncrse,hincsrca,0.04073198643053204
GB,hincsrca,atncrse,0.017650167238197595
GB,atncrse,hinctnta,0.14763633170761878
GB,hinctnta,atncrse,0.058760772417613516
GB,atncrse,hlthhmp,0.1166299761096699
GB,hlthhmp,atncrse,0.08065262754906181
GB,atncrse,hswrk,0.0056330865232515235
GB,hswrk,atncrse,0.05670077161166959
GB,atncrse,hswrkp,0.02040325041588211
GB,hswrkp,atncrse,0.08091387631553094
GB,atncrse,imbgeco,0.08988985191606978
GB,imbgeco,atncrse,0.09780584286466504
GB,atncrse,imdfetn,0.0441401111113972
GB,imdfetn,atncrse,0.1137146748297342
GB,atncrse,impcntr,0.4428130424881403
GB,impcntr,atncrse,0.7182368382594221
GB,atncrse,imsmetn,0.12413779888854456
GB,imsmetn,atncrse,0.3950163936526939
GB,atncrse,imueclt,0.10400985812474929
GB,imueclt,atncrse,0.22939037143134444
GB,atncrse,imwbcnt,0.07733686895196622
GB,imwbcnt,atncrse,0.5658987685779043
GB,atncrse,iorgact,0.012794300566623775
GB,iorgact,atncrse,0.40800128864767043
GB,atncrse,jbspv,0.05315784665127163
GB,jbspv,atncrse,0.04100982908965955
GB,atncrse,lrscale,0.220996580833249
GB,lrscale,atncrse,0.07420178244092683
GB,atncrse,lvgptnea,0.1364916388849518
GB,lvgptnea,atncrse,0.07028655030573182
GB,atncrse,mainact,0.018904204754913813
GB,mainact,atncrse,0.9625271267538119
GB,atncrse,maritalb,0.17660229214126086
GB,maritalb,atncrse,0.013001641944730313
GB,atncrse,mbtru,0.11102285288071534
GB,mbtru,atncrse,0.005292825142565573
GB,atncrse,marsts,0.0068544640192435375
GB,marsts,atncrse,0.18657699602240632
GB,atncrse,mnactic,0.00010931967683751689
GB,mnactic,atncrse,0.10335012777533784
GB,atncrse,mnactp,0.0008677726703758049
GB,mnactp,atncrse,0.33580363887241765
GB,atncrse,mocntr,0.030905913712171124
GB,mocntr,atncrse,0.018335768242279827
GB,atncrse,nacer2,0.07070866928943507
GB,nacer2,atncrse,0.8647663469890865
GB,atncrse,njbspv,0.3818460925857994
GB,njbspv,atncrse,0.3267936847105336
GB,atncrse,occf14b,0.010415547870960603
GB,occf14b,atncrse,0.13761509144793746
GB,atncrse,occm14b,0.0034985080590186944
GB,occm14b,atncrse,0.7492494873237796
GB,atncrse,pdjobev,0.005386798284694426
GB,pdjobev,atncrse,0.199732569953856
