country,causality_from,causality_to,p_value
HU,aesfdrk,atncrse,0.006811899371978168
HU,atncrse,aesfdrk,0.9062082836208105
HU,aesfdrk,bctprd,0.20606774762177552
HU,bctprd,aesfdrk,0.09723815481391045
HU,aesfdrk,chldhhe,0.037523672252739684
HU,chldhhe,aesfdrk,0.05920366626605572
HU,aesfdrk,clsprty,0.06044942730430015
HU,clsprty,aesfdrk,0.8896732534314723
HU,aesfdrk,crmvct,0.11944185832902054
HU,crmvct,aesfdrk,0.9350212235936881
HU,aesfdrk,crpdwk,0.018761639082930954
HU,crpdwk,aesfdrk,0.5877068128111088
HU,aesfdrk,crpdwkp,0.8998065874916958
HU,crpdwkp,aesfdrk,0.9185199134390639
HU,aesfdrk,dngnapp,0.005383450837728696
HU,dngnapp,aesfdrk,0.8586071978027308
HU,aesfdrk,dngnap,0.14573200606542083
HU,dngnap,aesfdrk,0.7513617500470393
HU,aesfdrk,dngoth,0.29617714282746127
HU,dngoth,aesfdrk,0.6538510609680039
HU,aesfdrk,dngothp,0.40749088277703727
HU,dngothp,aesfdrk,0.0676247927596234
HU,aesfdrk,domicil,0.10263388959494013
HU,domicil,aesfdrk,0.9180383345988337
HU,aesfdrk,dsbld,0.5955014149482285
HU,dsbld,aesfdrk,0.03611974160835202
HU,aesfdrk,dsbldp,0.8832399151578355
HU,dsbldp,aesfdrk,0.23208338900751163
HU,aesfdrk,dscrage,0.13906932809982017
HU,dscrage,aesfdrk,0.2526458611323068
HU,aesfdrk,dscrdsb,0.6896481546625292
HU,dscrdsb,aesfdrk,0.10145294519322536
HU,aesfdrk,dscretn,0.7064486365565199
HU,dscretn,aesfdrk,0.9151663730347915
HU,aesfdrk,dscrgnd,0.5971103615461943
HU,dscrgnd,aesfdrk,0.13960347742625914
HU,aesfdrk,dscrgrp,0.23925211209526917
HU,dscrgrp,aesfdrk,0.0076747741156419375
HU,aesfdrk,dscrntn,0.04601666166090216
HU,dscrntn,aesfdrk,0.9661255988703205
HU,aesfdrk,dscroth,0.0019598213364162677
HU,dscroth,aesfdrk,0.7995961763707767
HU,aesfdrk,dscrrce,0.10029029837525129
HU,dscrrce,aesfdrk,0.7135087859832417
HU,aesfdrk,edctnp,0.5086428860258464
HU,edctnp,aesfdrk,0.9302375171772748
HU,aesfdrk,dvrcdeva,0.05261763096076948
HU,dvrcdeva,aesfdrk,0.01429306891526771
HU,aesfdrk,edctn,0.24357116629081038
HU,edctn,aesfdrk,0.33014717609790284
HU,aesfdrk,edulvlb,0.6086893700074472
HU,edulvlb,aesfdrk,0.6740642397693035
HU,aesfdrk,eisced,0.21274134519573606
HU,eisced,aesfdrk,0.25325998088558843
HU,aesfdrk,emplrel,0.7673404387776611
HU,emplrel,aesfdrk,0.2081127480492913
HU,aesfdrk,emprf14,0.01479730258287982
HU,emprf14,aesfdrk,0.35762263041421033
HU,aesfdrk,emprm14,0.4914803465155322
HU,emprm14,aesfdrk,0.49897885146174603
HU,aesfdrk,dscrrlg,0.6150082887016569
HU,dscrrlg,aesfdrk,0.044697249639500856
HU,aesfdrk,estsz,0.16580929797510205
HU,estsz,aesfdrk,0.7338095820476095
HU,aesfdrk,facntr,0.0008675955572005852
HU,facntr,aesfdrk,0.9306821367872156
HU,aesfdrk,freehms,0.35644718422415744
HU,freehms,aesfdrk,0.16276720181308812
HU,aesfdrk,happy,0.08890218161230011
HU,happy,aesfdrk,0.41321535231288176
HU,aesfdrk,health,0.0642630161293581
HU,health,aesfdrk,0.678405434138157
HU,aesfdrk,hincsrca,0.8959975024922309
HU,hincsrca,aesfdrk,0.8987267801702459
HU,aesfdrk,hincfel,0.36507029773059874
HU,hincfel,aesfdrk,0.9160342199132541
HU,aesfdrk,hinctnta,0.1348128052346374
HU,hinctnta,aesfdrk,0.37922669413562393
HU,aesfdrk,hlthhmp,0.3291453434636232
HU,hlthhmp,aesfdrk,0.9424224376891172
HU,aesfdrk,hswrk,0.05295998681153497
HU,hswrk,aesfdrk,0.4320105654938898
HU,aesfdrk,hswrkp,0.4380687630335342
HU,hswrkp,aesfdrk,0.11587029537022002
HU,aesfdrk,imbgeco,0.08316158812988556
HU,imbgeco,aesfdrk,0.7988111969678008
HU,aesfdrk,impcntr,0.6462774349231338
HU,impcntr,aesfdrk,0.9158342467509415
HU,aesfdrk,imueclt,0.18455287788756725
HU,imueclt,aesfdrk,0.37015354529111
HU,aesfdrk,imwbcnt,0.12488786960249593
HU,imwbcnt,aesfdrk,0.39730292984925014
HU,aesfdrk,iorgact,0.35582627034144526
HU,iorgact,aesfdrk,0.27177543294495016
HU,aesfdrk,jbspv,0.011580548426172853
HU,jbspv,aesfdrk,0.6531783403173163
HU,aesfdrk,lrscale,0.6062690945373901
HU,lrscale,aesfdrk,0.028289878317748755
HU,aesfdrk,lvgptnea,0.0036577760768320383
HU,lvgptnea,aesfdrk,0.007537114022794433
HU,aesfdrk,mainact,0.6525031084070518
HU,mainact,aesfdrk,0.4112089751698684
HU,aesfdrk,maritalb,0.02181497825236843
HU,maritalb,aesfdrk,0.9896902149694954
HU,aesfdrk,marsts,0.21474911059602447
HU,marsts,aesfdrk,0.8639110459030326
HU,aesfdrk,mbtru,0.07173016249691545
HU,mbtru,aesfdrk,0.18589721384719418
HU,aesfdrk,mnactic,0.024420837718990198
HU,mnactic,aesfdrk,0.75035998752131
HU,aesfdrk,mnactp,0.3164636530087021
HU,mnactp,aesfdrk,0.22884256651781648
HU,aesfdrk,mocntr,0.0206000635115699
HU,mocntr,aesfdrk,0.12363222546959955
HU,aesfdrk,nacer2,0.3599816471459349
HU,nacer2,aesfdrk,0.1369396783270138
HU,aesfdrk,njbspv,0.6041130458928843
HU,njbspv,aesfdrk,0.5809483336941622
HU,aesfdrk,occf14b,0.6031681214385863
HU,occf14b,aesfdrk,0.8319787261817376
HU,aesfdrk,occm14b,0.10257536105338459
HU,occm14b,aesfdrk,0.07181626470126944
HU,aesfdrk,pdjobev,0.25192912119799893
HU,pdjobev,aesfdrk,0.5863690101603172
HU,aesfdrk,pdwrk,0.9006007861561095
HU,pdwrk,aesfdrk,0.11182494924537471
HU,aesfdrk,pdwrkp,0.16700711157374612
HU,pdwrkp,aesfdrk,0.22505694587859437
HU,aesfdrk,polintr,0.13847721418028416
HU,polintr,aesfdrk,0.6860281954948007
HU,aesfdrk,pplfair,0.19210429404105653
HU,pplfair,aesfdrk,0.8837074956994571
HU,aesfdrk,pplhlp,0.4394833793082059
HU,pplhlp,aesfdrk,0.7494508524660666
HU,aesfdrk,rlgdnm,0.036085928599713844
HU,rlgdnm,aesfdrk,0.18825051056902248
HU,aesfdrk,rlgblg,0.334708880159851
HU,rlgblg,aesfdrk,0.7686722630975482
HU,aesfdrk,rshpsts,0.033376039284635145
HU,rshpsts,aesfdrk,0.7684592255715506
HU,aesfdrk,rtrd,0.06357025867435706
HU,rtrd,aesfdrk,0.8973671624892573
HU,aesfdrk,rtrdp,0.25148116231343765
HU,rtrdp,aesfdrk,0.7357822335782715
HU,aesfdrk,sclact,0.7457251113823885
HU,sclact,aesfdrk,0.6099855813644579
HU,aesfdrk,sclmeet,0.1354389330776151
HU,sclmeet,aesfdrk,0.38855420986178113
HU,aesfdrk,stfdem,0.5134089082130789
HU,stfdem,aesfdrk,0.2600516301650856
HU,aesfdrk,stfeco,0.36501694991443523
HU,stfeco,aesfdrk,0.14919199012775738
HU,aesfdrk,stfedu,0.4012332484387319
HU,stfedu,aesfdrk,0.0878302726012404
HU,aesfdrk,stfgov,0.5727033121101756
HU,stfgov,aesfdrk,0.0039380867451625085
HU,aesfdrk,stfhlth,0.7007434238778413
HU,stfhlth,aesfdrk,0.18022018102198673
HU,aesfdrk,stflife,0.4515437559608528
HU,stflife,aesfdrk,0.8254449413557731
HU,aesfdrk,tporgwk,0.005824313014742549
HU,tporgwk,aesfdrk,0.8510634049286069
HU,aesfdrk,trstep,0.9942951758824943
HU,trstep,aesfdrk,0.26858421327909476
HU,aesfdrk,trstlgl,0.5287255686994876
HU,trstlgl,aesfdrk,0.3597825869448155
HU,aesfdrk,trstplt,0.22957738456629379
HU,trstplt,aesfdrk,0.24808743721746965
HU,aesfdrk,trstplc,0.2827356758018236
HU,trstplc,aesfdrk,0.24073205852851484
HU,aesfdrk,trstprl,0.4353674878777301
HU,trstprl,aesfdrk,0.12215426256379006
HU,aesfdrk,trstprt,0.2817524437986287
HU,trstprt,aesfdrk,0.28174550872659665
HU,aesfdrk,trstun,0.6157499991999855
HU,trstun,aesfdrk,0.04636244128846443
HU,aesfdrk,uemp12m,0.3794040273545973
HU,uemp12m,aesfdrk,0.5663436158266146
HU,aesfdrk,uemp3m,0.58825110167176
HU,uemp3m,aesfdrk,0.9078120718014449
HU,aesfdrk,uemp5yr,0.07628434630825241
HU,uemp5yr,aesfdrk,0.18230406281586334
HU,aesfdrk,uempla,0.5450653109493131
HU,uempla,aesfdrk,0.7848935306961151
HU,aesfdrk,uempli,0.7999265502353833
HU,uempli,aesfdrk,0.8702476503032737
HU,aesfdrk,uemplap,0.3605170198449511
HU,uemplap,aesfdrk,0.6024798489474189
HU,aesfdrk,uemplip,0.1228707247255418
HU,uemplip,aesfdrk,0.7961768815684648
HU,aesfdrk,wkdcorga,0.09474565938162714
HU,wkdcorga,aesfdrk,0.687247389845841
HU,aesfdrk,wkhct,0.6041130458928843
HU,wkhct,aesfdrk,0.5809483336941622
HU,aesfdrk,wkhtot,0.6041130458928843
HU,wkhtot,aesfdrk,0.5809483336941622
HU,aesfdrk,wrkac6m,0.5985095814902354
HU,wrkac6m,aesfdrk,0.015148827839322483
HU,aesfdrk,wrkctra,0.1425452958036578
HU,wrkctra,aesfdrk,0.6781016462649064
HU,atncrse,bctprd,0.0024342368138336127
HU,bctprd,atncrse,0.028551021036179132
HU,atncrse,chldhhe,0.5519510783927973
HU,chldhhe,atncrse,0.5900467118754732
HU,atncrse,clsprty,0.23146867479682934
HU,clsprty,atncrse,0.30975360928107115
HU,atncrse,crmvct,0.023275479385822494
HU,crmvct,atncrse,0.00534438659420297
HU,atncrse,crpdwk,0.9681578965234202
HU,crpdwk,atncrse,0.009072939036134771
HU,atncrse,crpdwkp,0.4261577867022969
HU,crpdwkp,atncrse,0.29556113507871495
HU,atncrse,dngnapp,0.0574142879277215
HU,dngnapp,atncrse,0.11250550874550373
HU,atncrse,dngoth,0.7707589908515169
HU,dngoth,atncrse,0.7854726102335255
HU,atncrse,dngnap,0.12635820557245592
HU,dngnap,atncrse,0.2740850485425912
HU,atncrse,dngothp,0.06345557909694266
HU,dngothp,atncrse,0.5267543501452036
HU,atncrse,domicil,0.07188024300162707
HU,domicil,atncrse,0.08045376872920611
HU,atncrse,dsbld,0.007944441380438177
HU,dsbld,atncrse,0.5358992993695089
HU,atncrse,dsbldp,0.08393782749924134
HU,dsbldp,atncrse,0.794796679150345
HU,atncrse,dscrage,0.4115451971211444
HU,dscrage,atncrse,0.514397648801089
HU,atncrse,dscrdsb,0.03222346847181874
HU,dscrdsb,atncrse,0.05600155490012421
HU,atncrse,dscretn,0.9105683685244651
HU,dscretn,atncrse,0.07063121972327074
HU,atncrse,dscrgnd,0.014328210703399954
HU,dscrgnd,atncrse,0.10055871209073482
HU,atncrse,dscrgrp,0.4203419351120642
HU,dscrgrp,atncrse,0.04217210393392607
HU,atncrse,dscrntn,0.19192138483530488
HU,dscrntn,atncrse,0.21398318511209133
HU,atncrse,dscroth,0.3513148933735427
HU,dscroth,atncrse,0.25387724305638465
HU,atncrse,dscrrce,0.4164995007407697
HU,dscrrce,atncrse,0.07986203250950111
HU,atncrse,dscrrlg,0.7528701208380392
HU,dscrrlg,atncrse,0.19475248513212884
HU,atncrse,dvrcdeva,0.5147602657768655
HU,dvrcdeva,atncrse,0.010835394137967434
HU,atncrse,edctn,0.018390613246964928
HU,edctn,atncrse,0.4661440419381647
HU,atncrse,edctnp,0.7032795289507874
HU,edctnp,atncrse,0.03903229060542414
HU,atncrse,edulvlb,0.5848634530553538
HU,edulvlb,atncrse,0.006261811863028509
HU,atncrse,eisced,0.0002382609435354358
HU,eisced,atncrse,0.6832607317051095
HU,atncrse,emplrel,0.19143472264385486
HU,emplrel,atncrse,0.014753050746599114
HU,atncrse,emprf14,0.3445613152699384
HU,emprf14,atncrse,0.006224666108814814
HU,atncrse,emprm14,0.42172696804170506
HU,emprm14,atncrse,0.05168474473251174
HU,atncrse,estsz,0.0877494208784452
HU,estsz,atncrse,0.05818634489821992
HU,atncrse,facntr,0.3682684586626306
HU,facntr,atncrse,0.4173896283075611
HU,atncrse,freehms,0.6727665904834526
HU,freehms,atncrse,0.07694274444231809
HU,atncrse,happy,0.3156341566664996
HU,happy,atncrse,0.4806325242981034
HU,atncrse,health,0.22986241810529018
HU,health,atncrse,0.016291918798437534
HU,atncrse,hincfel,0.9695969608100983
HU,hincfel,atncrse,0.4016367399549357
HU,atncrse,hincsrca,0.5132211060989363
HU,hincsrca,atncrse,0.03680879914693126
HU,atncrse,hinctnta,0.029249061856542708
HU,hinctnta,atncrse,0.3374834465967132
HU,atncrse,hswrk,0.6020077824951072
HU,hswrk,atncrse,0.3624622817221102
HU,atncrse,hlthhmp,0.21616518556203454
HU,hlthhmp,atncrse,0.12086869066834333
HU,atncrse,hswrkp,0.00855304949622783
HU,hswrkp,atncrse,0.5267376363392287
HU,atncrse,imbgeco,0.042648006244978026
HU,imbgeco,atncrse,0.03456079847382193
HU,atncrse,impcntr,0.4922716478863894
HU,impcntr,atncrse,0.15294579692950724
HU,atncrse,imwbcnt,0.007398879067687123
HU,imwbcnt,atncrse,0.14871959218964229
HU,atncrse,imueclt,0.017247671989759336
HU,imueclt,atncrse,0.4887813591192235
HU,atncrse,iorgact,0.42569098203835176
HU,iorgact,atncrse,0.05460295317216525
HU,atncrse,jbspv,0.5688954698987884
HU,jbspv,atncrse,0.1868985497357971
HU,atncrse,lrscale,0.017667045808986415
HU,lrscale,atncrse,0.6270590395838762
HU,atncrse,lvgptnea,0.48595107302817747
HU,lvgptnea,atncrse,0.5629514246680846
HU,atncrse,mainact,0.36789148584581804
HU,mainact,atncrse,0.03618931510474442
HU,atncrse,maritalb,0.6487576043944041
HU,maritalb,atncrse,0.6027924938408377
HU,atncrse,marsts,0.579234155962124
HU,marsts,atncrse,0.8215059371269747
HU,atncrse,mbtru,0.9846124717028764
HU,mbtru,atncrse,0.010173065855968704
HU,atncrse,mnactic,0.0005267724561690373
HU,mnactic,atncrse,0.014679258803162454
HU,atncrse,mnactp,0.27342828370335337
HU,mnactp,atncrse,0.013141234690288885
HU,atncrse,mocntr,0.9365467008921295
HU,mocntr,atncrse,0.005248461054046316
HU,atncrse,nacer2,0.4740633532814799
HU,nacer2,atncrse,0.8444129890080574
HU,atncrse,njbspv,0.8275016498331516
HU,njbspv,atncrse,0.4402372745845261
HU,atncrse,occf14b,0.7614290750000818
HU,occf14b,atncrse,0.049335971079143746
HU,atncrse,occm14b,0.006063044625726438
HU,occm14b,atncrse,0.2797851392719795
HU,atncrse,pdjobev,0.8637889433190818
HU,pdjobev,atncrse,0.01518638473675712
HU,atncrse,pdwrk,0.0017405878839824966
HU,pdwrk,atncrse,0.30289584192477775
HU,atncrse,polintr,0.6455043489534954
HU,polintr,atncrse,0.035894288457576
HU,atncrse,pdwrkp,0.5557180882347292
HU,pdwrkp,atncrse,0.36371861589350923
HU,atncrse,pplfair,0.5518521184087983
HU,pplfair,atncrse,0.3222105516148717
HU,atncrse,pplhlp,0.49375614615026975
HU,pplhlp,atncrse,0.10310746817355414
HU,atncrse,rlgblg,0.4423468376347624
HU,rlgblg,atncrse,0.0317482532448675
HU,atncrse,rshpsts,0.50610068873677
HU,rshpsts,atncrse,0.15426167268842625
HU,atncrse,rlgdnm,0.015210555950732476
HU,rlgdnm,atncrse,0.14154407709801295
HU,atncrse,rtrd,0.08913531460482581
HU,rtrd,atncrse,0.06205744954986423
HU,atncrse,rtrdp,0.8592605228278481
HU,rtrdp,atncrse,0.601634276377633
HU,atncrse,sclact,0.3176819838265628
HU,sclact,atncrse,0.2869688212202586
HU,atncrse,sclmeet,0.49830710775774223
HU,sclmeet,atncrse,0.0007588667873117151
HU,atncrse,stfdem,0.1138921836652208
HU,stfdem,atncrse,0.5541875806629817
HU,atncrse,stfeco,0.0007687094940768293
HU,stfeco,atncrse,0.8044652326142336
