country,causality_from,causality_to,p_value
IE,aesfdrk,atncrse,0.2303422411499016
IE,atncrse,aesfdrk,0.042140241777825646
IE,aesfdrk,bctprd,0.01346490159135294
IE,bctprd,aesfdrk,0.2852762801134748
IE,aesfdrk,chldhhe,0.3299886769951961
IE,chldhhe,aesfdrk,0.018862460923575658
IE,aesfdrk,clsprty,0.19562304698115152
IE,clsprty,aesfdrk,0.07943618581013713
IE,aesfdrk,crmvct,0.16681698348459845
IE,crmvct,aesfdrk,0.5384327345052873
IE,aesfdrk,dngdkp,0.00785062093667425
IE,dngdkp,aesfdrk,0.2783046489804241
IE,aesfdrk,crpdwkp,0.07312593662689731
IE,crpdwkp,aesfdrk,0.5561901492533597
IE,aesfdrk,crpdwk,0.24905108559783676
IE,crpdwk,aesfdrk,0.07923923758477254
IE,aesfdrk,ctzcntr,0.0684729930155963
IE,ctzcntr,aesfdrk,0.1479461271638542
IE,aesfdrk,dngnapp,0.1896646178831454
IE,dngnapp,aesfdrk,0.02642443501908818
IE,aesfdrk,dngoth,0.3288625249387596
IE,dngoth,aesfdrk,0.2754857653603034
IE,aesfdrk,dngothp,0.2305875848088899
IE,dngothp,aesfdrk,0.08352894148795081
IE,aesfdrk,domicil,0.24158891205471011
IE,domicil,aesfdrk,0.024110763886893986
IE,aesfdrk,dsbld,0.00953059341045801
IE,dsbld,aesfdrk,0.19526149807186322
IE,aesfdrk,dscretn,0.002510854342886175
IE,dscretn,aesfdrk,0.0754982429299701
IE,aesfdrk,dscrage,0.5170467182607679
IE,dscrage,aesfdrk,0.34297940543529265
IE,aesfdrk,dsbldp,0.10049905544420208
IE,dsbldp,aesfdrk,0.12325829625982816
IE,aesfdrk,dscrdsb,0.042544174313159135
IE,dscrdsb,aesfdrk,0.49212950299681113
IE,aesfdrk,dscrgrp,0.023763006782123793
IE,dscrgrp,aesfdrk,0.009075841012292493
IE,aesfdrk,dscrlng,0.8980268339325198
IE,dscrlng,aesfdrk,0.9524035045072862
IE,aesfdrk,dscrgnd,0.030879056162457643
IE,dscrgnd,aesfdrk,0.021475073808240142
IE,aesfdrk,dscrntn,0.20130330626750373
