country,causality_from,causality_to,p_value
LT,aesfdrk,atncrse,0.33955963503798087
LT,atncrse,aesfdrk,0.2284414225496048
LT,aesfdrk,bctprd,0.2614743900774712
LT,bctprd,aesfdrk,0.9843604175077392
LT,aesfdrk,chldhhe,0.8420514597840661
LT,chldhhe,aesfdrk,0.4365707945972876
LT,aesfdrk,clsprty,0.306541174505292
LT,clsprty,aesfdrk,0.03101361984424355
LT,aesfdrk,crmvct,0.630167184224409
LT,crmvct,aesfdrk,0.22975747369944324
LT,aesfdrk,crpdwk,0.028056141097610666
LT,crpdwk,aesfdrk,0.13394562439155586
LT,aesfdrk,crpdwkp,0.3350428922148444
LT,crpdwkp,aesfdrk,0.28297264196075755
LT,aesfdrk,ctzcntr,0.32728110503501234
LT,ctzcntr,aesfdrk,0.2483327021527563
LT,aesfdrk,dngnapp,0.21517159051647078
LT,dngnapp,aesfdrk,0.08608450269462312
LT,aesfdrk,dngoth,0.13928087613849818
LT,dngoth,aesfdrk,0.06130628464765266
LT,aesfdrk,domicil,0.030634915106618053
LT,domicil,aesfdrk,0.09150488525975925
LT,aesfdrk,dsbld,0.47567183950766306
LT,dsbld,aesfdrk,0.3852016435918192
LT,aesfdrk,dsbldp,0.8338285501563921
LT,dsbldp,aesfdrk,0.6273569512586279
LT,aesfdrk,dscrage,0.4121352785134647
LT,dscrage,aesfdrk,0.6715869307300036
LT,aesfdrk,dscrdsb,0.039949196498260245
LT,dscrdsb,aesfdrk,0.316952645630164
LT,aesfdrk,dscretn,0.6326061417915562
LT,dscretn,aesfdrk,0.47577890149106483
LT,aesfdrk,dscrgnd,0.19134284196608747
LT,dscrgnd,aesfdrk,0.13461147803512624
LT,aesfdrk,dscrgrp,0.5543973223769442
LT,dscrgrp,aesfdrk,0.5439824968518162
LT,aesfdrk,dscrlng,0.05669214525383627
LT,dscrlng,aesfdrk,0.6834864901898636
LT,aesfdrk,dscroth,0.21279896394846323
LT,dscroth,aesfdrk,0.9131686942248847
LT,aesfdrk,dscrrlg,0.09146815131018707
LT,dscrrlg,aesfdrk,0.22817429769578593
LT,aesfdrk,dvrcdeva,0.7693681891195057
LT,dvrcdeva,aesfdrk,0.19033714125327916
LT,aesfdrk,edctn,0.31537137984112085
LT,edctn,aesfdrk,0.16554047272850064
LT,aesfdrk,edctnp,0.6055678016353973
LT,edctnp,aesfdrk,0.21469090158284204
LT,aesfdrk,edlvdlt,0.04277234146173397
LT,edlvdlt,aesfdrk,0.12396158402553736
LT,aesfdrk,edlvfdlt,0.123154966417513
LT,edlvfdlt,aesfdrk,0.13935882298470562
LT,aesfdrk,edlvmdlt,0.08104747744074492
LT,edlvmdlt,aesfdrk,0.1320389498808615
LT,aesfdrk,edlvpdlt,0.02888496126235801
LT,edlvpdlt,aesfdrk,0.061674049702412505
LT,aesfdrk,edulvlb,0.1068783129819747
LT,edulvlb,aesfdrk,0.14341353120737096
LT,aesfdrk,edulvlfb,0.12730742721500626
LT,edulvlfb,aesfdrk,0.14371893710054762
LT,aesfdrk,edulvlpb,0.015125733626609714
LT,edulvlpb,aesfdrk,0.04948748471735205
LT,aesfdrk,edulvlmb,0.08421136223541595
LT,edulvlmb,aesfdrk,0.1386291148521805
LT,aesfdrk,eisced,0.34602090592484963
LT,eisced,aesfdrk,0.19836688497006363
LT,aesfdrk,eiscedf,0.2902611848780467
LT,eiscedf,aesfdrk,0.19090628299069196
LT,aesfdrk,eiscedm,0.19630453295362954
LT,eiscedm,aesfdrk,0.17618886387161434
LT,aesfdrk,eiscedp,0.009748011985102539
LT,eiscedp,aesfdrk,0.0698805370067012
LT,aesfdrk,emplrel,0.33816088184477905
LT,emplrel,aesfdrk,0.19643286108745617
LT,aesfdrk,emprelp,0.19552329226378257
LT,emprelp,aesfdrk,0.23133229738504477
LT,aesfdrk,emprf14,0.43698963207287667
LT,emprf14,aesfdrk,0.08801894281930081
LT,aesfdrk,emprm14,0.21698028106047812
LT,emprm14,aesfdrk,0.5676172671234779
LT,aesfdrk,facntr,0.10775879083565669
LT,facntr,aesfdrk,0.147752852052044
LT,aesfdrk,estsz,0.460746863426725
LT,estsz,aesfdrk,0.34878177101149194
LT,aesfdrk,freehms,0.011929978106466585
LT,freehms,aesfdrk,0.8396726524041415
LT,aesfdrk,happy,0.3792655944256068
LT,happy,aesfdrk,0.12389046762692242
LT,aesfdrk,health,0.5586698668284725
LT,health,aesfdrk,0.15899580949777245
LT,aesfdrk,hincfel,0.02711276755600311
LT,hincfel,aesfdrk,0.35881204001647254
LT,aesfdrk,hincsrca,0.1837726670865293
LT,hincsrca,aesfdrk,0.18828827117977107
LT,aesfdrk,hinctnta,0.5815826215666444
LT,hinctnta,aesfdrk,0.13489788080980233
LT,aesfdrk,hlthhmp,0.15154672933284793
LT,hlthhmp,aesfdrk,0.7524214247119759
LT,aesfdrk,hswrk,0.16681718989446212
LT,hswrk,aesfdrk,0.5740075214535046
LT,aesfdrk,hswrkp,0.7277244214591984
LT,hswrkp,aesfdrk,0.8243325945319541
LT,aesfdrk,imbgeco,0.028150468494599328
LT,imbgeco,aesfdrk,0.14163093048291966
LT,aesfdrk,impcntr,0.3375939338457839
LT,impcntr,aesfdrk,0.6369077095305061
LT,aesfdrk,imdfetn,0.4220143136926939
LT,imdfetn,aesfdrk,0.04108474534335943
LT,aesfdrk,imsmetn,0.035616078409055965
LT,imsmetn,aesfdrk,0.14091122075675339
LT,aesfdrk,imueclt,0.18312895967295972
LT,imueclt,aesfdrk,0.5539313298917271
LT,aesfdrk,imwbcnt,0.14792753830011715
LT,imwbcnt,aesfdrk,0.2419619916616879
LT,aesfdrk,iorgact,0.010697012012082778
LT,iorgact,aesfdrk,0.06489968429043601
LT,aesfdrk,lrscale,0.008155718990422991
LT,lrscale,aesfdrk,0.06297681277122187
LT,aesfdrk,jbspv,0.9566615841328185
LT,jbspv,aesfdrk,0.29732217949859335
LT,aesfdrk,lvgptnea,0.05498064977875342
LT,lvgptnea,aesfdrk,0.1283993894315142
LT,aesfdrk,mainact,0.05152422892020677
LT,mainact,aesfdrk,0.7417299330230912
LT,aesfdrk,maritalb,0.78724671776536
LT,maritalb,aesfdrk,0.3493150795674482
LT,aesfdrk,marsts,0.8076878026981678
LT,marsts,aesfdrk,0.23477025156143083
LT,aesfdrk,mbtru,0.89452791772282
LT,mbtru,aesfdrk,0.17089063938681776
LT,aesfdrk,mnactic,0.027247311774038448
LT,mnactic,aesfdrk,0.0944888748673159
LT,aesfdrk,mnactp,0.5828696350409703
LT,mnactp,aesfdrk,0.010133999674272861
LT,aesfdrk,mocntr,0.1801997946139593
LT,mocntr,aesfdrk,0.47657840088196424
LT,aesfdrk,nacer2,0.8946028130421295
LT,nacer2,aesfdrk,0.07708822943501735
LT,aesfdrk,njbspv,0.5875261848970131
LT,njbspv,aesfdrk,0.7781870592046848
LT,aesfdrk,occf14b,0.7951519295852508
LT,occf14b,aesfdrk,0.38822983965069846
LT,aesfdrk,occm14b,0.878076854153085
LT,occm14b,aesfdrk,0.35132899748589824
LT,aesfdrk,pdjobev,0.4185475151009879
LT,pdjobev,aesfdrk,0.2541814000224408
LT,aesfdrk,pdwrk,0.4199567732953765
LT,pdwrk,aesfdrk,0.35857778043549954
LT,aesfdrk,pdwrkp,0.754038015226392
LT,pdwrkp,aesfdrk,0.14267787617415004
LT,aesfdrk,polintr,0.39553949554253315
LT,polintr,aesfdrk,0.8795238740088304
LT,aesfdrk,pplfair,0.19799130816952282
LT,pplfair,aesfdrk,0.9799208847760537
LT,aesfdrk,pplhlp,0.2029268041299927
LT,pplhlp,aesfdrk,0.16231494167624053
LT,aesfdrk,rlgblg,0.350754329565041
LT,rlgblg,aesfdrk,0.023294330530374007
LT,aesfdrk,rlgdnlt,0.3737576751177846
LT,rlgdnlt,aesfdrk,0.47619697574636155
LT,aesfdrk,rlgdnm,0.3737576728189133
LT,rlgdnm,aesfdrk,0.4761969797431828
LT,aesfdrk,rshpsts,0.34893176702693207
LT,rshpsts,aesfdrk,0.16019275586657478
LT,aesfdrk,rtrd,0.892419957867156
LT,rtrd,aesfdrk,0.31533386557109694
LT,aesfdrk,rtrdp,0.4481000340700412
LT,rtrdp,aesfdrk,0.2854075828241487
LT,aesfdrk,sclact,0.021675500963335165
LT,sclact,aesfdrk,0.19305725637095197
LT,aesfdrk,sclmeet,0.013339885083398999
LT,sclmeet,aesfdrk,0.1651608532737849
LT,aesfdrk,stfdem,0.7397895296463491
LT,stfdem,aesfdrk,0.4153807796429191
LT,aesfdrk,stfedu,0.12863646600551648
LT,stfedu,aesfdrk,0.5415171801468485
LT,aesfdrk,stfeco,0.7862139768299449
LT,stfeco,aesfdrk,0.16834130780754647
LT,aesfdrk,stfgov,0.737572129494787
LT,stfgov,aesfdrk,0.15850606636347464
LT,aesfdrk,stflife,0.8190190689301757
LT,stflife,aesfdrk,0.19867854544908975
LT,aesfdrk,tporgwk,0.2486459748691112
LT,tporgwk,aesfdrk,0.7236395317170733
LT,aesfdrk,trstlgl,0.15272959531553165
LT,trstlgl,aesfdrk,0.9215932561590503
LT,aesfdrk,stfhlth,0.8029869010319888
LT,stfhlth,aesfdrk,0.18097180785317304
LT,aesfdrk,trstep,0.33974185624088354
LT,trstep,aesfdrk,0.4539864389410428
LT,aesfdrk,trstplc,0.26940101722071635
