country,causality_from,causality_to,p_value
NL,aesfdrk,atncrse,0.08829107221113651
NL,atncrse,aesfdrk,0.15482727068658486
NL,aesfdrk,clsprty,0.13736291463072295
NL,clsprty,aesfdrk,0.43475651932923515
NL,aesfdrk,chldhhe,0.49362661719104145
NL,chldhhe,aesfdrk,0.08588502537049837
NL,aesfdrk,bctprd,0.029002144724282856
NL,bctprd,aesfdrk,0.44710375404793296
NL,aesfdrk,crpdwk,0.1970553718492982
NL,crpdwk,aesfdrk,0.61649899258482
NL,aesfdrk,crmvct,0.11596352873031199
NL,crmvct,aesfdrk,0.0914836799112974
NL,aesfdrk,crpdwkp,0.0735635431395842
NL,crpdwkp,aesfdrk,0.0260737435819444
NL,aesfdrk,ctzcntr,0.11348099841106962
NL,ctzcntr,aesfdrk,0.0006907617485939456
NL,aesfdrk,dngnapp,0.6597562391058941
NL,dngnapp,aesfdrk,0.25972812412536433
NL,aesfdrk,dngoth,0.04037271622564436
NL,dngoth,aesfdrk,0.03450056238391436
NL,aesfdrk,domicil,0.020493151439353877
NL,domicil,aesfdrk,0.3691381104804133
NL,aesfdrk,dngothp,0.03218837243001821
NL,dngothp,aesfdrk,0.1959915063276555
NL,aesfdrk,dscrage,0.896620385064858
NL,dscrage,aesfdrk,0.8339437974052925
NL,aesfdrk,dscrdsb,0.019303998321746865
NL,dscrdsb,aesfdrk,0.06548407574710956
NL,aesfdrk,dsbld,0.0015857858170243461
NL,dsbld,aesfdrk,0.0976501037859266
NL,aesfdrk,dsbldp,0.6721839095857532
NL,dsbldp,aesfdrk,0.03975388259290985
NL,aesfdrk,dscrgrp,0.07939940967776138
NL,dscrgrp,aesfdrk,0.09076846949362546
NL,aesfdrk,dscrlng,0.5203502712985235
NL,dscrlng,aesfdrk,0.9808419846038452
NL,aesfdrk,dscrgnd,0.07094740082893723
NL,dscrgnd,aesfdrk,0.011024020491798488
NL,aesfdrk,dscretn,0.086296204505158
NL,dscretn,aesfdrk,0.17456150971031825
NL,aesfdrk,dscrntn,0.038399992421499524
NL,dscrntn,aesfdrk,0.0072421451163304645
NL,aesfdrk,dscroth,0.41634497016462196
NL,dscroth,aesfdrk,0.04049571363959059
NL,aesfdrk,dscrrce,0.005271157657796445
NL,dscrrce,aesfdrk,0.024106892878169577
NL,aesfdrk,dscrrlg,0.03525745164456054
NL,dscrrlg,aesfdrk,0.008288545439595693
NL,aesfdrk,dvrcdeva,0.3269877818961537
NL,dvrcdeva,aesfdrk,0.029484987922994022
NL,aesfdrk,dscrsex,0.10166072542692603
NL,dscrsex,aesfdrk,0.1747075540590098
NL,aesfdrk,edctn,0.1550493973265049
NL,edctn,aesfdrk,0.059920995191344605
NL,aesfdrk,edctnp,0.30224899818485906
NL,edctnp,aesfdrk,0.5524825026556067
NL,aesfdrk,edulvlb,0.11136409464077893
NL,edulvlb,aesfdrk,0.3744700795873868
NL,aesfdrk,edulvlfb,0.0980113104775056
NL,edulvlfb,aesfdrk,0.20257493127613488
NL,aesfdrk,edulvlmb,0.46963627905685873
NL,edulvlmb,aesfdrk,0.10114142151247674
NL,aesfdrk,edulvlpb,0.026144095569932253
NL,edulvlpb,aesfdrk,0.005906152017671686
NL,aesfdrk,eisced,0.010040916828479499
NL,eisced,aesfdrk,0.06232459189030048
NL,aesfdrk,eiscedf,0.14622916105596026
NL,eiscedf,aesfdrk,0.46783067402947554
NL,aesfdrk,eiscedm,0.016350570593801232
NL,eiscedm,aesfdrk,0.038769196121523686
NL,aesfdrk,eiscedp,0.03033037073007292
NL,eiscedp,aesfdrk,0.001122950843343708
NL,aesfdrk,emplrel,0.3258698039084571
NL,emplrel,aesfdrk,0.5630195902899661
NL,aesfdrk,emprelp,0.09866025321171917
NL,emprelp,aesfdrk,0.19843772001198035
NL,aesfdrk,emprf14,0.037765096521173755
NL,emprf14,aesfdrk,0.6429095475115838
NL,aesfdrk,emprm14,0.021842783402018544
NL,emprm14,aesfdrk,0.08071459091984323
NL,aesfdrk,estsz,0.05374616066307429
NL,estsz,aesfdrk,0.870873476215055
NL,aesfdrk,facntr,0.012925021595753117
NL,facntr,aesfdrk,0.009244632548433149
NL,aesfdrk,freehms,0.8332168687587779
NL,freehms,aesfdrk,0.8765748003311926
NL,aesfdrk,happy,0.7108343137778451
NL,happy,aesfdrk,0.5338818060258886
NL,aesfdrk,health,0.13695933892588527
NL,health,aesfdrk,0.31478050132838403
NL,aesfdrk,hincfel,0.07491384747567541
NL,hincfel,aesfdrk,0.005775064488097389
NL,aesfdrk,hincsrca,0.20630337770075913
NL,hincsrca,aesfdrk,0.021655644568592012
NL,aesfdrk,hinctnta,0.058789911479485986
NL,hinctnta,aesfdrk,0.16615770705603503
NL,aesfdrk,hlthhmp,0.06794618251890464
NL,hlthhmp,aesfdrk,0.18288394415288659
NL,aesfdrk,hswrk,0.1314025889486261
NL,hswrk,aesfdrk,0.018527283211990736
NL,aesfdrk,hswrkp,0.21760353103399593
NL,hswrkp,aesfdrk,0.9110788085124968
NL,aesfdrk,imbgeco,0.02841872000198985
NL,imbgeco,aesfdrk,0.10633344181485192
NL,aesfdrk,impcntr,0.15524494836551808
NL,impcntr,aesfdrk,0.06746386485595418
NL,aesfdrk,imdfetn,0.15754923005177227
NL,imdfetn,aesfdrk,0.11825743771412872
NL,aesfdrk,imueclt,0.20712187245170957
NL,imueclt,aesfdrk,0.00743948951802222
NL,aesfdrk,imsmetn,0.11165290129193066
NL,imsmetn,aesfdrk,0.06846282084323925
NL,aesfdrk,imwbcnt,0.8679771661352084
NL,imwbcnt,aesfdrk,0.8379470413487047
NL,aesfdrk,iorgact,0.0027951115475149664
NL,iorgact,aesfdrk,0.0021847938600109487
NL,aesfdrk,jbspv,0.19685294041771478
NL,jbspv,aesfdrk,0.2268937748250506
NL,aesfdrk,lrscale,0.03476916226274371
NL,lrscale,aesfdrk,0.22597456367331986
NL,aesfdrk,lvgptnea,0.23369882647858137
NL,lvgptnea,aesfdrk,0.008492186922437339
NL,aesfdrk,mainact,0.7582204539885739
NL,mainact,aesfdrk,0.439702710118255
NL,aesfdrk,marsts,0.14344957206824877
NL,marsts,aesfdrk,0.02876885049134087
NL,aesfdrk,maritalb,0.11841252478558219
NL,maritalb,aesfdrk,0.014966801675326151
NL,aesfdrk,mbtru,0.0005743375545375299
NL,mbtru,aesfdrk,0.007582810324653826
NL,aesfdrk,mnactic,0.05034645255115538
NL,mnactic,aesfdrk,0.027612829516099894
NL,aesfdrk,mnactp,0.13244254480344647
