country,causality_from,causality_to,p_value
NO,aesfdrk,atncrse,0.027023090904771632
NO,atncrse,aesfdrk,0.0664284960103076
NO,aesfdrk,bctprd,0.7471213395967272
NO,bctprd,aesfdrk,0.7733138279841014
NO,aesfdrk,chldhhe,0.10521174814250925
NO,chldhhe,aesfdrk,0.644590484800876
NO,aesfdrk,clsprty,0.0007563315122769737
NO,clsprty,aesfdrk,0.5877751855053271
NO,aesfdrk,crmvct,0.028954988022692533
NO,crmvct,aesfdrk,0.17275725857906235
NO,aesfdrk,cmsrv,0.6577102176298013
NO,cmsrv,aesfdrk,0.004890776486944694
NO,aesfdrk,crpdwk,0.049775630745487555
NO,crpdwk,aesfdrk,0.08168980499824885
NO,aesfdrk,dngnapp,0.21216077984528228
NO,dngnapp,aesfdrk,0.03636915869224311
NO,aesfdrk,crpdwkp,0.7510636067950206
NO,crpdwkp,aesfdrk,0.7706986718389206
NO,aesfdrk,ctzcntr,0.05206514233216722
NO,ctzcntr,aesfdrk,0.4169010794470313
NO,aesfdrk,dngoth,0.11902596466300465
NO,dngoth,aesfdrk,0.0536149996131469
NO,aesfdrk,dngothp,0.5265742464433417
NO,dngothp,aesfdrk,0.3378846676239379
NO,aesfdrk,domicil,0.014122187249423143
NO,domicil,aesfdrk,0.0950171553195498
NO,aesfdrk,dsbld,0.8141005001085976
NO,dsbld,aesfdrk,0.02622258950171693
NO,aesfdrk,dscrdsb,0.08099201896722143
NO,dscrdsb,aesfdrk,0.4093516396242336
NO,aesfdrk,dsbldp,0.00042756065045384373
NO,dsbldp,aesfdrk,0.07184174018573677
NO,aesfdrk,dscretn,0.003030402957409485
NO,dscretn,aesfdrk,0.24998470408841933
NO,aesfdrk,dscrgnd,0.5463260590302741
NO,dscrgnd,aesfdrk,0.04403018454013425
NO,aesfdrk,dscrgrp,0.7507072246435289
NO,dscrgrp,aesfdrk,0.7714223375506138
NO,aesfdrk,dscrntn,0.27751561326700835
NO,dscrntn,aesfdrk,0.007108131994459556
NO,aesfdrk,dscrlng,0.17056280388096356
NO,dscrlng,aesfdrk,0.08052966802001114
NO,aesfdrk,dscroth,0.5802513167477662
NO,dscroth,aesfdrk,0.014374439688301046
NO,aesfdrk,dscrrce,0.005125089825323251
NO,dscrrce,aesfdrk,0.5542766248784683
NO,aesfdrk,dscrrlg,0.14735300201917736
NO,dscrrlg,aesfdrk,0.07397470257081823
NO,aesfdrk,dscrsex,0.2945931582955937
NO,dscrsex,aesfdrk,0.588683691495459
NO,aesfdrk,dvrcdeva,0.007090341253829297
NO,dvrcdeva,aesfdrk,0.3523112441329109
NO,aesfdrk,edctn,2.1204597166217834e-05
NO,edctn,aesfdrk,0.47726401478336133
NO,aesfdrk,edctnp,0.9995655999435387
NO,edctnp,aesfdrk,0.053252548036149094
NO,aesfdrk,edulvlb,0.010641806341905948
NO,edulvlb,aesfdrk,0.13267414370158678
NO,aesfdrk,edulvlfb,0.0012880839184994516
NO,edulvlfb,aesfdrk,0.025706826024456512
NO,aesfdrk,edulvlmb,0.00030701889105534354
NO,edulvlmb,aesfdrk,0.2589149293849652
NO,aesfdrk,edulvlpb,0.006604508175021732
NO,edulvlpb,aesfdrk,0.8230674100084434
NO,aesfdrk,eiscedm,0.0005941676943255497
NO,eiscedm,aesfdrk,0.8227408374084739
NO,aesfdrk,eiscedf,0.00078825917512365
NO,eiscedf,aesfdrk,0.4624437650803791
NO,aesfdrk,eisced,0.028265746588448864
NO,eisced,aesfdrk,0.08545127159317169
NO,aesfdrk,eiscedp,8.017025669369798e-05
NO,eiscedp,aesfdrk,0.7545987193067721
NO,aesfdrk,emplrel,0.0011270039394023115
NO,emplrel,aesfdrk,0.6812870691274993
NO,aesfdrk,emprelp,0.05279624092511599
NO,emprelp,aesfdrk,0.015480753392061883
NO,aesfdrk,emprf14,0.028082109212092008
NO,emprf14,aesfdrk,0.12012358315570555
NO,aesfdrk,emprm14,0.5188459462097146
NO,emprm14,aesfdrk,0.3327339306338837
NO,aesfdrk,estsz,6.527837157259655e-05
NO,estsz,aesfdrk,0.6162890223119609
NO,aesfdrk,freehms,0.11596520774460127
NO,freehms,aesfdrk,0.012611699177962727
NO,aesfdrk,facntr,0.7499989805640245
NO,facntr,aesfdrk,0.7724503652031899
NO,aesfdrk,happy,0.006619579120600912
NO,happy,aesfdrk,0.8433183769269122
NO,aesfdrk,health,0.025954504408863113
NO,health,aesfdrk,0.17282995730175152
NO,aesfdrk,hincfel,0.04302997460554679
NO,hincfel,aesfdrk,0.9966279207925592
NO,aesfdrk,hincsrca,0.005255489918098507
NO,hincsrca,aesfdrk,0.38280936453827624
NO,aesfdrk,hinctnta,0.1698940657893181
NO,hinctnta,aesfdrk,0.055095437666324264
NO,aesfdrk,hlthhmp,0.43968212272142737
NO,hlthhmp,aesfdrk,0.8851081361982877
NO,aesfdrk,hswrk,0.0011036661569297783
NO,hswrk,aesfdrk,0.4463113737899804
NO,aesfdrk,hswrkp,0.007557077892650848
NO,hswrkp,aesfdrk,0.4906952843027472
NO,aesfdrk,imbgeco,0.2988250689243112
NO,imbgeco,aesfdrk,0.3691599996006813
NO,aesfdrk,imdfetn,0.03904245527972686
NO,imdfetn,aesfdrk,0.1059750952153217
NO,aesfdrk,impcntr,0.39608917181963166
NO,impcntr,aesfdrk,0.0002562087558989504
NO,aesfdrk,imsmetn,0.05830590312279709
NO,imsmetn,aesfdrk,0.18645058977925336
NO,aesfdrk,imueclt,0.08958825215244538
NO,imueclt,aesfdrk,0.05605482007776172
NO,aesfdrk,imwbcnt,0.04650443742964895
NO,imwbcnt,aesfdrk,0.6066780299246439
NO,aesfdrk,iorgact,0.030400313781844133
NO,iorgact,aesfdrk,0.3695923779323476
NO,aesfdrk,jbspv,0.006605854068380282
NO,jbspv,aesfdrk,0.23935520270223742
NO,aesfdrk,lrscale,0.14686518660927517
NO,lrscale,aesfdrk,0.0005281675046942255
NO,aesfdrk,lvgptnea,0.9308869865956129
NO,lvgptnea,aesfdrk,0.4255105649331052
NO,aesfdrk,mainact,0.13879694360796996
NO,mainact,aesfdrk,0.00847016442607825
NO,aesfdrk,maritalb,0.3629571851348203
NO,maritalb,aesfdrk,0.5287924962784281
NO,aesfdrk,mnactic,0.014011026120231402
NO,mnactic,aesfdrk,0.2790735966703507
NO,aesfdrk,mbtru,0.02643925300131493
NO,mbtru,aesfdrk,0.04348525734816767
NO,aesfdrk,marsts,0.20179397220576809
NO,marsts,aesfdrk,0.45254664217341606
NO,aesfdrk,mnactp,0.00035018261512257835
NO,mnactp,aesfdrk,0.011487396953372118
NO,aesfdrk,mocntr,0.008635212943463574
NO,mocntr,aesfdrk,0.0825007718983654
NO,aesfdrk,nacer2,0.08199993118547722
