country,causality_from,causality_to,p_value
PT,aesfdrk,atncrse,0.193827164808116
PT,atncrse,aesfdrk,0.43512981109595605
PT,aesfdrk,bctprd,0.5688658132316634
PT,bctprd,aesfdrk,0.054429157276638565
PT,aesfdrk,chldhhe,0.31613204714361953
PT,chldhhe,aesfdrk,0.013566021737977309
PT,aesfdrk,clsprty,0.33549034948059125
PT,clsprty,aesfdrk,0.3133892694061168
PT,aesfdrk,crmvct,0.2995904555883507
PT,crmvct,aesfdrk,0.1934533840068142
PT,aesfdrk,crpdwk,0.076665245509673
PT,crpdwk,aesfdrk,0.31311595286372007
PT,aesfdrk,crpdwkp,0.08631606853192045
PT,crpdwkp,aesfdrk,0.19961687273905568
PT,aesfdrk,ctzcntr,0.5050058286028829
PT,ctzcntr,aesfdrk,0.42292798200732074
PT,aesfdrk,dngnapp,0.27755666538108364
PT,dngnapp,aesfdrk,0.007593956973790562
PT,aesfdrk,dngoth,0.23485013833048543
PT,dngoth,aesfdrk,0.6260187509157102
PT,aesfdrk,dngothp,0.04366684682390183
PT,dngothp,aesfdrk,0.08648610992132191
PT,aesfdrk,domicil,0.023770492992851073
PT,domicil,aesfdrk,0.056529971620435535
PT,aesfdrk,dsbld,0.08554848485330073
PT,dsbld,aesfdrk,0.13975233115372027
PT,aesfdrk,dsbldp,0.19760903309512476
PT,dsbldp,aesfdrk,0.0797652257982291
PT,aesfdrk,dscrage,0.14749171983101922
PT,dscrage,aesfdrk,0.27062672194893256
PT,aesfdrk,dscrdsb,0.0006429478925409247
PT,dscrdsb,aesfdrk,0.5932091128956276
PT,aesfdrk,dscrgrp,0.6100200496662777
PT,dscrgrp,aesfdrk,0.3936654663408019
PT,aesfdrk,dscrntn,0.28976610125273994
PT,dscrntn,aesfdrk,0.3593396799383319
PT,aesfdrk,dscroth,0.1936712238633657
PT,dscroth,aesfdrk,0.09767751920234573
PT,aesfdrk,dscrrce,0.03218061505408566
PT,dscrrce,aesfdrk,0.06316290127773887
PT,aesfdrk,dscrrlg,0.35754364136100575
PT,dscrrlg,aesfdrk,0.039384448380891564
PT,aesfdrk,dscrsex,0.7593396294893999
PT,dscrsex,aesfdrk,0.04261524190171198
PT,aesfdrk,dvrcdeva,0.23018349022882706
PT,dvrcdeva,aesfdrk,0.7997711014684464
PT,aesfdrk,edctn,0.005418799043391396
PT,edctn,aesfdrk,0.16856202499775522
PT,aesfdrk,edctnp,0.07054708788488571
PT,edctnp,aesfdrk,0.41888380605024716
PT,aesfdrk,edulvlb,0.39232880660038116
PT,edulvlb,aesfdrk,0.5451296707264148
PT,aesfdrk,eiscedp,0.0938071671964827
PT,eiscedp,aesfdrk,0.14763569435187393
PT,aesfdrk,edulvlfb,0.6513643031504014
PT,edulvlfb,aesfdrk,0.11968780034762831
PT,aesfdrk,edulvlmb,0.6558194252443542
PT,edulvlmb,aesfdrk,0.7348849653791135
PT,aesfdrk,edulvlpb,0.6603855463033232
PT,edulvlpb,aesfdrk,0.9817492869679928
PT,aesfdrk,eiscedf,0.3424259903888524
