country,causality_from,causality_to,p_value
SI,aesfdrk,atncrse,0.29752978164797833
SI,atncrse,aesfdrk,0.27598219228335
SI,aesfdrk,bctprd,0.0018594546399016666
SI,bctprd,aesfdrk,0.24139170376085403
SI,aesfdrk,chldhhe,0.05935943994643417
SI,chldhhe,aesfdrk,0.15708296625808607
SI,aesfdrk,clsprty,0.08724798363251157
SI,clsprty,aesfdrk,0.04883632282371086
SI,aesfdrk,crpdwk,0.04446747106897764
SI,crpdwk,aesfdrk,0.18839955673089617
SI,aesfdrk,crmvct,0.009471757247610783
SI,crmvct,aesfdrk,0.599684318378518
SI,aesfdrk,crpdwkp,0.20553053797496387
SI,crpdwkp,aesfdrk,0.290966042231874
SI,aesfdrk,ctzcntr,0.4939756195974307
SI,ctzcntr,aesfdrk,0.021743063455711073
SI,aesfdrk,dngna,0.11103958175554507
SI,dngna,aesfdrk,0.177954255794575
SI,aesfdrk,dngnap,0.01059011645656482
SI,dngnap,aesfdrk,0.6019972326939901
SI,aesfdrk,dngnapp,0.05928467779103193
SI,dngnapp,aesfdrk,0.7077327002439369
SI,aesfdrk,dngoth,0.5660875558121805
SI,dngoth,aesfdrk,0.10019508657721977
SI,aesfdrk,dngothp,0.7373098152515647
SI,dngothp,aesfdrk,0.06243846939336559
SI,aesfdrk,domicil,0.09327791959243645
SI,domicil,aesfdrk,0.07205842132797056
SI,aesfdrk,dsbld,0.5273309505971419
SI,dsbld,aesfdrk,0.7089300643325889
SI,aesfdrk,dsbldp,0.6463742261232179
SI,dsbldp,aesfdrk,0.7875652093516603
SI,aesfdrk,dscretn,0.5706780873868327
SI,dscretn,aesfdrk,7.097383394598314e-05
SI,aesfdrk,dscrdsb,0.041948996736508884
SI,dscrdsb,aesfdrk,0.11662304720700006
SI,aesfdrk,dscrgnd,0.3346224546311859
SI,dscrgnd,aesfdrk,0.06291376375312387
SI,aesfdrk,dscrgrp,0.15302951076732613
SI,dscrgrp,aesfdrk,0.042439115752848956
SI,aesfdrk,dscrlng,0.9392457025378795
SI,dscrlng,aesfdrk,0.1579541031993248
SI,aesfdrk,dscroth,0.19629609889073918
SI,dscroth,aesfdrk,0.01062877348996219
SI,aesfdrk,dscrrlg,0.6382073374929614
SI,dscrrlg,aesfdrk,0.790862986275276
SI,aesfdrk,dvrcdeva,0.004851888484831494
SI,dvrcdeva,aesfdrk,0.034019423035059636
SI,aesfdrk,dscrsex,0.2341957931311935
SI,dscrsex,aesfdrk,0.02330702412347254
SI,aesfdrk,edctnp,0.2873066578250697
SI,edctnp,aesfdrk,0.0006561702873447274
SI,aesfdrk,edulvlb,0.6137535226686969
SI,edulvlb,aesfdrk,0.39838000546981506
SI,aesfdrk,edulvlfb,0.5481542057282964
SI,edulvlfb,aesfdrk,0.02052029435275513
SI,aesfdrk,edctn,0.036167130110825785
SI,edctn,aesfdrk,0.7051138940338003
SI,aesfdrk,edulvlmb,0.0033206053549024246
SI,edulvlmb,aesfdrk,0.2078213090629427
SI,aesfdrk,edulvlpb,0.48180719289720797
SI,edulvlpb,aesfdrk,0.1829030384942747
SI,aesfdrk,eisced,0.49462047762024325
SI,eisced,aesfdrk,0.7566456043572746
SI,aesfdrk,eiscedf,0.22044877688544143
SI,eiscedf,aesfdrk,0.007913079788725078
SI,aesfdrk,eiscedm,0.0142471355770075
SI,eiscedm,aesfdrk,0.15110178460734952
SI,aesfdrk,eiscedp,0.013550216422178445
SI,eiscedp,aesfdrk,0.0838627958646712
SI,aesfdrk,emplrel,0.214056151340034
SI,emplrel,aesfdrk,0.2677174834615036
SI,aesfdrk,emprf14,0.3871664164155756
SI,emprf14,aesfdrk,0.0009842833751972082
SI,aesfdrk,emprelp,0.03138459109247522
SI,emprelp,aesfdrk,0.22926976220900508
SI,aesfdrk,emprm14,0.20268595595034736
SI,emprm14,aesfdrk,0.0836175049615178
SI,aesfdrk,estsz,0.009183005471624478
SI,estsz,aesfdrk,0.00602690747859012
