causality_from,causality_to,weight
estsz,stfgov,0.3487730540357879
mainact,eiscedp,0.33248857075329036
freehms,sclmeet,0.31843081186255534
happy,mainact,0.31240301621315525
occm14b,dscrdsb,0.3066265815447756
lvgptnea,uemp5yr,0.30281024021634234
atncrse,stfedu,0.30073934916007306
sclmeet,dscroth,0.2989167960166975
trstep,estsz,0.29867687440109547
hincfel,dscrdsb,0.28433521236161885
lvgptnea,ctzcntr,0.28388215123114263
hincsrca,mainact,0.2829338067614552
hincsrca,happy,0.2813589437387274
dscrrce,uempla,0.2795088878280928
stfedu,jbspv,0.27629198671022687
hincsrca,dscrdsb,0.2745942053259384
trstplt,stfgov,0.27263481499590103
stfgov,emprelp,0.27131151386850383
uemp12m,dscrdsb,0.26958521098180627
hinctnta,stfgov,0.2678468024031942
trstprl,eisced,0.2665375296719199
trstprt,sclmeet,0.2655702048828982
crmvct,hswrkp,0.2634094485825214
imbgeco,stfedu,0.26220561379690566
hincsrca,hincfel,0.2620426819761021
stfgov,hswrkp,0.2612617745279382
rshpsts,stfgov,0.26095477083072516
occm14b,iorgact,0.2608505852687446
stfgov,bctprd,0.26019452426029016
rlgdnm,uemp3m,0.25984071806403103
emprf14,wrkctra,0.2596939222094755
maritalb,stfgov,0.2577412695740329
eiscedf,dscrrlg,0.25738041078726315
rlgdnm,dscroth,0.2571990267580812
freehms,estsz,0.2565411427579429
edctnp,pplfair,0.25606126475620417
dscroth,mnactp,0.2559190716976034
nacer2,emplrel,0.25539991106684745
marsts,stfgov,0.25303782494602
freehms,happy,0.25265160414683835
iorgact,stflife,0.2516210329091498
nacer2,stflife,0.250986344243732
occm14b,wkdcorga,0.2500698735113281
mnactic,hincfel,0.24994762893905426
stfhlth,dscrntn,0.2497829782243772
occf14b,dscrdsb,0.24924974782986148
nacer2,trstplt,0.24838149445283822
hlthhmp,stfdem,0.24835705469239122
maritalb,dscrdsb,0.24744402056586087
jbspv,dscrntn,0.24737782501765304
stfdem,iorgact,0.24700684132265766
nacer2,pplfair,0.24691920244426901
dscrdsb,dscrntn,0.2469182186084359
occf14b,hincfel,0.2464681978092329
hinctnta,occm14b,0.24637569453233354
rlgdnm,stfhlth,0.24578919440815664
hincfel,trstun,0.2455193577019237
dscroth,estsz,0.2447128201829883
uemplap,edctnp,0.2442865343605548
stfedu,freehms,0.24288082807845623
hswrkp,uempla,0.2426681833120915
stfgov,trstun,0.24206482189061676
hinctnta,iorgact,0.24196585122467237
jbspv,dscrdsb,0.24101609092333454
trstplc,freehms,0.24087772949303232
hinctnta,eiscedp,0.2405993093997781
sclmeet,wkdcorga,0.240546689921295
emplrel,dscrrce,0.240539694230563
trstep,eisced,0.2400359226295724
dscrgrp,hincfel,0.24001737164443612
rshpsts,dscrdsb,0.2398106438087064
hincsrca,polintr,0.23954860431682198
emprelp,hinctnta,0.23843910952983194
lvgptnea,aesfdrk,0.23757159018675778
jbspv,mnactp,0.2374798267569933
rshpsts,hincfel,0.23738912575053767
mnactp,imueclt,0.23729822429534578
hswrkp,stfedu,0.2369510537556193
imbgeco,dscrdsb,0.23608638550162422
rlgdnm,imdfetn,0.2358524417106484
pplhlp,imwbcnt,0.23549217630382507
mnactic,trstplt,0.2350254178424441
dscroth,stfhlth,0.23462136865145153
