Variable,Country,Correlation
hinctnta,AT,0.224466857404751
ppltrst,AT,0.2643408239848503
sclmeet,AT,0.07838978633277369
health,AT,-0.36215205216617
eduyrs,AT,0.058171070016499724
uempla,AT,-0.09416928763430256
marsts,AT,-0.0019966838115676416
agea,AT,-0.0013685648783290979
trstplc,AT,0.21841962984036717
trstprl,AT,0.1753591449292576
rlgdgr,AT,0.03102800475875374
wkhtot,AT,-0.023955805155197636
nwspol,AT,0.0008553323578157032
netusoft,AT,0.11351214884500328
netustm,AT,-0.05221937737535132
pplfair,AT,0.24705852780431375
pplhlp,AT,0.2543881468374597
polintr,AT,-0.03824417038594292
psppsgva,AT,0.14741642030325972
actrolga,AT,0.06402885518360915
psppipla,AT,0.14398623937477248
cptppola,AT,0.04892559878550184
trstlgl,AT,0.18068115176090166
trstplt,AT,0.1749810471514261
trstprt,AT,0.16551557745447068
trstep,AT,0.1723438886266485
trstun,AT,0.12200310420967826
vote,AT,-0.08301831236793072
contplt,AT,-0.04173331372585123
donprty,AT,-0.025645725817202054
sgnptit,AT,-0.05108944806025195
pbldmna,AT,0.0024953478703216504
bctprd,AT,0.0037910742302785408
pstplonl,AT,0.05004713715346369
volunfp,AT,-0.06576978397397662
lrscale,AT,-0.02089041148087645
stfeco,AT,0.28147071429296344
stfgov,AT,0.1754454040820803
stfdem,AT,0.17667722296599994
stfedu,AT,0.12007446044543561
stfhlth,AT,0.1901780507250358
gincdif,AT,0.08495140895527496
freehms,AT,-0.09014839695410103
hmsfmlsh,AT,0.13971577509277083
hmsacld,AT,-0.11706976221894258
euftf,AT,0.15869016582740558
lrnobed,AT,0.05287189499558348
imsmetn,AT,-0.12140351288387018
imdfetn,AT,-0.10925884658010243
impcntr,AT,-0.11191665503949706
imbgeco,AT,0.14045737467388134
imueclt,AT,0.10179956487551665
imwbcnt,AT,0.1284917271762034
happy,AT,0.7284713851694079
inprdsc,AT,0.12551332019440933
sclact,AT,0.19066205770752745
crmvct,AT,0.020741435796564508
aesfdrk,AT,-0.18373026224774064
hlthhmp,AT,0.2553745845404104
atchctr,AT,0.1381372211046688
rlgblg,AT,-0.09238203913469246
rlgatnd,AT,-0.06689147572750742
pray,AT,-0.0019523245981616024
dscrgrp,AT,0.11207259238096162
dscrrce,AT,-0.04229258350170774
dscrage,AT,-0.05679404954319086
dscrgnd,AT,-0.001910824138471913
dscrntn,AT,-0.08789552257769903
dscretn,AT,-0.04532244695207112
dscrdk,AT,0.0024706354601363983
dscrref,AT,
dscrnap,AT,0.11049465355809172
dscrsex,AT,-0.04385342557425274
ctzcntr,AT,-0.04257813344038736
brncntr,AT,-0.08929353655735865
livecnta,AT,-0.017721134967555105
feethngr,AT,-0.05159484598373695
ccnthum,AT,0.03017725773251398
ccrdprs,AT,0.08410287682345016
wrclmch,AT,0.03770494814832409
vteurmmb,AT,-0.11255315335909763
vteubcmb,AT,
ctrlife,AT,0.36141095870982776
etfruit,AT,-0.03176034853634997
eatveg,AT,-0.03836823621093866
dosprt,AT,0.1098673078842932
cgtsmok,AT,0.07846889525747079
alcfreq,AT,-0.02897820329074797
alcbnge,AT,0.1200601141176466
height,AT,0.0034449517195252323
weighta,AT,-0.032787081788691906
icgndra,AT,0.038154670491347104
medtrnp,AT,-0.10490124148823092
medtrnt,AT,-0.09248027180104544
medtroc,AT,-0.0280384315800005
medtrnl,AT,-0.11977990770092425
medtrwl,AT,-0.09540487062373199
medtrna,AT,
hlpfmly,AT,-0.04254183530235139
hlpfmhr,AT,-0.011915183486865868
trhltacu,AT,-0.061002603901675174
trhltacp,AT,-0.0142083707209879
trhltcm,AT,-0.027515819679922466
trhltch,AT,-0.06021437410834286
trhltos,AT,-0.017992046937342035
trhltho,AT,-0.00014067428581546334
trhltht,AT,0.006487089176095903
trhlthy,AT,-0.02803990987710547
trhltmt,AT,0.0007663940374711306
trhltpt,AT,-0.05124492009187414
trhltre,AT,0.005267601730837238
trhltsh,AT,-0.06791145148855841
fltdpr,AT,-0.44549768032765213
flteeff,AT,-0.3177553606664892
slprl,AT,-0.24902812191996573
wrhpp,AT,0.4594123523491239
fltlnl,AT,-0.32374780600803793
enjlf,AT,0.40629808981801335
fltsd,AT,-0.38923616823979207
cldgng,AT,-0.32920406542403796
hltprhc,AT,-0.10258838676402185
hltprhb,AT,-0.06446076340516817
hltprbp,AT,-0.11420021774287388
hltpral,AT,-0.011391420008195584
hltprbn,AT,-0.12406178511089702
hltprpa,AT,-0.0856556742056692
hltprpf,AT,-0.1514112138490818
hltprsd,AT,-0.10202675751931249
hltprsc,AT,-0.0685479158261189
hltprsh,AT,-0.08395845702163858
hltprdi,AT,-0.027446003732233326
hltprnt,AT,0.11673788538543231
hltphhc,AT,-0.11684966233553394
hltphhb,AT,-0.10240596881755527
hltphbp,AT,-0.12125422252232947
hltphal,AT,-0.032152769346812
hltphbn,AT,-0.15479463600668933
hltphpa,AT,-0.12067511294683331
hltphpf,AT,-0.18359902078201792
hltphsd,AT,-0.09083054782590094
hltphsc,AT,-0.07156088206556843
hltphsh,AT,-0.07286396372482855
hltphdi,AT,-0.02145829392013126
hltphnt,AT,0.09423020105400738
hltphnap,AT,0.09914804058946577
hltphref,AT,-0.024973781194709624
hltphdk,AT,-0.010184628272352636
hltphna,AT,
hltprca,AT,0.10712847257697987
cancfre,AT,0.10397216083446718
cnfpplh,AT,0.22613256919501945
fnsdfml,AT,0.17533240876982337
jbexpvi,AT,-0.04139619468632422
jbexpti,AT,-0.08013247758288754
jbexpml,AT,0.026427110209136913
jbexpmc,AT,-0.07989293368433428
jbexevl,AT,-0.04395992461528302
jbexevh,AT,-0.08103454268906035
jbexevc,AT,-0.05306806554678379
jbexera,AT,0.016919794802415167
jbexecp,AT,-0.05513878938463784
jbexebs,AT,-0.07575161764027387
likrisk,AT,0.012579226582533425
liklead,AT,0.08958260562050671
sothnds,AT,0.10804429137960642
actcomp,AT,0.09688905737581349
mascfel,AT,-0.002182471231872743
femifel,AT,0.036923626949178785
impbemw,AT,0.042268121438142674
trmedmw,AT,0.0483657421340048
trwrkmw,AT,0.0863332571846054
trplcmw,AT,0.11029843776793193
trmdcnt,AT,0.08232831872333668
trwkcnt,AT,0.06634596823736125
trplcnt,AT,0.06196721499576582
eqwrkbg,AT,0.12242078667787437
eqpolbg,AT,0.12302368671132602
eqmgmbg,AT,0.15679757612876147
eqpaybg,AT,0.10394799793738928
eqparep,AT,-0.071263196792694
eqparlv,AT,0.014069564789325343
freinsw,AT,-0.007511029312227753
fineqpy,AT,-0.03771213072067693
wlespdm,AT,-0.01789959225533318
hhmmb,AT,0.19075088898757853
gndr,AT,0.015933933952636346
yrbrn,AT,0.0013685648783291556
rshpsts,AT,-0.05691408764058868
dvrcdeva,AT,0.04296897998035927
chldhhe,AT,-0.077157652514868
domicil,AT,0.09903967883103489
paccmoro,AT,-0.06581800634310303
paccdwlr,AT,-0.08431904914714061
pacclift,AT,0.027781162925114462
paccnbsh,AT,-0.007718931875455528
paccocrw,AT,-0.04747965776601413
paccxhoc,AT,-0.06652573721135709
paccnois,AT,-0.08430772607577333
paccinro,AT,-0.09427290650948189
eisced,AT,0.04837834520543513
pdwrk,AT,0.07147306593143041
edctn,AT,0.013976546325878721
uempli,AT,-0.14582913951616552
dsbld,AT,-0.14619305080866857
rtrd,AT,-0.01550515165600888
hswrk,AT,0.0369856490757749
mainact,AT,-0.15299075476472265
pdjobev,AT,0.058321174529914394
pdjobyr,AT,0.03925162403034469
emplrel,AT,-0.025565765853089294
wrkctra,AT,-0.10845504322452974
jbspv,AT,-0.07079101237900655
wkdcorga,AT,0.17413644830048255
iorgact,AT,0.11825114725633967
wkhct,AT,0.016165158076419148
tporgwk,AT,-0.05055872908853795
eiscedf,AT,-0.007146256358056254
emprelp,AT,-0.08263261697072717
wkhtotp,AT,-0.11437322840919628
emprf14,AT,-0.0287039935727132
occf14b,AT,0.012279926868036662
eiscedm,AT,0.07123323199912422
emprm14,AT,-0.003304056507479302
occm14b,AT,-0.002806518058659599
atncrse,AT,0.03024006780751439
ipcrtiva,AT,-0.09218886135002911
impricha,AT,0.056617365284543614
ipeqopta,AT,-0.07462480621141444
ipshabta,AT,-0.037904115735664046
impsafea,AT,-0.011966636311555097
impdiffa,AT,-0.08016661725938636
ipfrulea,AT,-0.04288934639126317
ipudrsta,AT,-0.08795855376098287
ipmodsta,AT,0.04840052488567032
ipgdtima,AT,-0.12353748117993878
impfreea,AT,-0.0670336315068327
iphlppla,AT,-0.10948575596043308
ipsucesa,AT,-0.046034391104139954
ipstrgva,AT,-0.02691856253087358
ipadvnta,AT,-0.0391998055828993
ipbhprpa,AT,-0.053599258412619186
iprspota,AT,-0.04090667617542852
iplylfra,AT,-0.08875680142281657
impenva,AT,-0.09875732986251616
imptrada,AT,-0.049493232437873104
impfuna,AT,-0.09140844508147095
respc19a,AT,-0.05777207635048483
symtc19,AT,0.1058343093839496
symtnc19,AT,0.17193862976721574
hinctnta,BE,0.2276477553085798
ppltrst,BE,0.21664421184664376
sclmeet,BE,0.10749880953585406
health,BE,-0.2864934148668284
eduyrs,BE,0.09967268497907247
uempla,BE,-0.12419458388753722
marsts,BE,0.059570477353807084
agea,BE,0.0016708773373559352
trstplc,BE,0.24457753123093415
trstprl,BE,0.16056169973714282
rlgdgr,BE,-0.019219787640940445
wkhtot,BE,0.0600521825368254
nwspol,BE,0.018009948665495403
netusoft,BE,0.0642200098037536
netustm,BE,0.010179890813297591
pplfair,BE,0.24137542606785112
pplhlp,BE,0.18183517490399692
polintr,BE,-0.11504684252200004
psppsgva,BE,0.12732770814235977
actrolga,BE,0.03191896890107213
psppipla,BE,0.1115215643858442
cptppola,BE,0.06938261785776649
trstlgl,BE,0.1753213288284509
trstplt,BE,0.16113195746088554
trstprt,BE,0.1650785703448949
trstep,BE,0.1345522035451095
trstun,BE,0.16312322649659972
vote,BE,-0.0910361809415252
contplt,BE,-0.03337093998337975
donprty,BE,-0.012646284525477109
sgnptit,BE,0.0048297756605322935
pbldmna,BE,0.03453262095430609
bctprd,BE,0.06953806932419615
pstplonl,BE,0.06402501813314916
volunfp,BE,-0.07601083392500574
lrscale,BE,0.0957270644452063
stfeco,BE,0.322630257709697
stfgov,BE,0.17769352845819097
stfdem,BE,0.19628214639581218
stfedu,BE,0.14809317348965928
stfhlth,BE,0.20602118455295482
gincdif,BE,0.08362060452000131
freehms,BE,-0.040942404000044265
hmsfmlsh,BE,0.09149171438799089
hmsacld,BE,-0.08791148831040903
euftf,BE,0.061522902694264095
lrnobed,BE,0.021520307973423334
imsmetn,BE,-0.08660838775779345
imdfetn,BE,-0.08702320714548557
impcntr,BE,-0.051595730384646286
imbgeco,BE,0.16187144412481871
imueclt,BE,0.1249226186497732
imwbcnt,BE,0.14238569295326836
happy,BE,0.6986467611197232
inprdsc,BE,0.17412798188336756
sclact,BE,0.1699614039408324
crmvct,BE,0.09063559525491899
aesfdrk,BE,-0.07266218735594412
hlthhmp,BE,0.2565231831914837
atchctr,BE,0.09649050682877151
rlgblg,BE,0.035772486390809245
rlgatnd,BE,-0.009841852114033368
pray,BE,0.06730992718197516
dscrgrp,BE,0.11690573772074797
dscrrce,BE,-0.04565743611219643
dscrage,BE,-0.016036614806149437
dscrgnd,BE,0.010054926119902968
dscrntn,BE,-0.054859861499507924
dscretn,BE,-0.020041540406942945
dscrdk,BE,0.006757048076346244
dscrref,BE,-0.011888054940450829
dscrnap,BE,0.11696143923913009
dscrsex,BE,-0.004230955671145016
ctzcntr,BE,-0.045920292758907674
brncntr,BE,-0.049092359312011925
livecnta,BE,0.12941543734704145
feethngr,BE,-0.16127647471691714
ccnthum,BE,-0.016284954265923766
ccrdprs,BE,0.002623637899920228
wrclmch,BE,0.04649634377302511
vteurmmb,BE,-0.10781694962036374
vteubcmb,BE,
ctrlife,BE,0.4207893962520934
etfruit,BE,-0.046345058417686553
eatveg,BE,-0.1424417652176054
dosprt,BE,0.10312993434682374
cgtsmok,BE,0.1361707210289669
alcfreq,BE,-0.08441589334559713
alcbnge,BE,-0.03081299762986729
height,BE,0.06854509669968165
weighta,BE,0.03196148762324249
icgndra,BE,-0.020705053551695402
medtrnp,BE,-0.17368684420029093
medtrnt,BE,0.0034905876388565036
medtroc,BE,-0.0720081954804257
medtrnl,BE,-0.03564059534219685
medtrwl,BE,-0.08525287248603453
medtrna,BE,-0.02441024382118792
hlpfmly,BE,-0.023732434454538542
hlpfmhr,BE,0.04911792108619644
trhltacu,BE,0.01574101557703548
trhltacp,BE,0.0405872932031014
trhltcm,BE,-0.05662211387643602
trhltch,BE,-0.018527631001550204
trhltos,BE,0.013084352853324651
trhltho,BE,-0.025883076296992026
trhltht,BE,-0.025008952316572117
trhlthy,BE,-0.01696357592243244
trhltmt,BE,-0.006503455311142925
trhltpt,BE,-0.05313221039191618
trhltre,BE,-0.052039778329739515
trhltsh,BE,-0.03591759708226868
fltdpr,BE,-0.39067393186810656
flteeff,BE,-0.3328966183688476
slprl,BE,-0.16698692849958746
wrhpp,BE,0.47241135424325525
fltlnl,BE,-0.34470695997165063
enjlf,BE,0.4251538049140595
fltsd,BE,-0.34371927634805716
cldgng,BE,-0.25434651476654985
hltprhc,BE,-0.10807436462718668
hltprhb,BE,-0.04765824978226196
hltprbp,BE,-0.12069472674339729
hltpral,BE,-0.03407816826328137
hltprbn,BE,-0.07299449486869236
hltprpa,BE,-0.10043348008800297
hltprpf,BE,-0.10230899471126569
hltprsd,BE,-0.04633759056957919
hltprsc,BE,-0.02737129567928864
hltprsh,BE,-0.143110357124753
hltprdi,BE,-0.06347714410017326
hltprnt,BE,0.0736051881585664
hltphhc,BE,-0.13238982635091115
hltphhb,BE,-0.0823786425067539
hltphbp,BE,-0.14513089060655868
hltphal,BE,-0.044147714309473986
hltphbn,BE,-0.08628030778053278
hltphpa,BE,-0.11865247698634482
hltphpf,BE,-0.11103248586926637
hltphsd,BE,-0.09116952249018415
hltphsc,BE,-0.03642463164745361
hltphsh,BE,-0.11798491820605952
hltphdi,BE,-0.09401764360969625
hltphnt,BE,0.1123773030010334
hltphnap,BE,0.07536619656047976
hltphref,BE,
hltphdk,BE,-0.03333502155442383
hltphna,BE,-0.008403483734385556
hltprca,BE,0.0773540607070728
cancfre,BE,-0.07770335666982517
cnfpplh,BE,0.12092389947851163
fnsdfml,BE,0.14231704236323423
jbexpvi,BE,-0.06549322870876087
jbexpti,BE,-0.119944000402592
jbexpml,BE,-0.04624749063632378
jbexpmc,BE,-0.10360514670194204
jbexevl,BE,-0.08226160155231295
jbexevh,BE,-0.08680518597040736
jbexevc,BE,-0.05778814018811606
jbexera,BE,0.01504429186134983
jbexecp,BE,-0.04334771283649838
jbexebs,BE,-0.06804008244150317
likrisk,BE,-0.028036342016122928
